_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.08043770522619452, y=0.009101232605837686, z=1.1227425507183653)","geometry_msgs.msg.Vector3(x=0.007600917406895376, y=0.15201834813790763, z=0.02664497420658931)",1745571467592560428
"geometry_msgs.msg.Vector3(x=0.08043770522619452, y=0.009101232605837686, z=1.1227425507183653)","geometry_msgs.msg.Vector3(x=0.007600917406895376, y=0.15201834813790763, z=0.02664497420658931)",1745571467625049496
"geometry_msgs.msg.Vector3(x=0.08046973852515804, y=0.009528405952254725, z=1.1016805076956193)","geometry_msgs.msg.Vector3(x=0.006858992797548304, y=0.15219548883208486, z=0.02671727423178057)",1745571467659957283
"geometry_msgs.msg.Vector3(x=0.08045725747247681, y=0.009204406032825725, z=1.1125107865864243)","geometry_msgs.msg.Vector3(x=0.007416753059614379, y=0.15204343772209508, z=0.026659559624174392)",1745571467694390403
"geometry_msgs.msg.Vector3(x=0.08045725747247681, y=0.009204406032825725, z=1.1125107865864243)","geometry_msgs.msg.Vector3(x=0.007416753059614379, y=0.15204343772209508, z=0.026659559624174392)",1745571467725401869
"geometry_msgs.msg.Vector3(x=0.08054697116443099, y=0.009175073650532602, z=1.131447409988844)","geometry_msgs.msg.Vector3(x=0.00742727392928908, y=0.15188775185396183, z=0.02663126604821688)",1745571467759737041
"geometry_msgs.msg.Vector3(x=0.08051491457485774, y=0.009514318227532598, z=1.125336712183217)","geometry_msgs.msg.Vector3(x=0.00686386151430607, y=0.15211801193867502, z=0.026703214130054997)",1745571467794809726
"geometry_msgs.msg.Vector3(x=0.08051491457485774, y=0.009514318227532598, z=1.125336712183217)","geometry_msgs.msg.Vector3(x=0.00686386151430607, y=0.15211801193867502, z=0.026703214130054997)",1745571467830577583
"geometry_msgs.msg.Vector3(x=0.0804507290844926, y=0.009425206245173975, z=1.1661029600925519)","geometry_msgs.msg.Vector3(x=0.007043226017489543, y=0.15217075158839216, z=0.026702747754335218)",1745571467862707878
"geometry_msgs.msg.Vector3(x=0.0804507290844926, y=0.009425206245173975, z=1.1661029600925519)","geometry_msgs.msg.Vector3(x=0.007043226017489543, y=0.15217075158839216, z=0.026702747754335218)",1745571467896705398
"geometry_msgs.msg.Vector3(x=0.0805021779787377, y=0.009189763799376029, z=1.1923743716582889)","geometry_msgs.msg.Vector3(x=0.007422012792776998, y=0.15196571193210895, z=0.026645433728970096)",1745571467929336391
"geometry_msgs.msg.Vector3(x=0.08044711058288538, y=0.008658191829294741, z=1.273804916696559)","geometry_msgs.msg.Vector3(x=0.00834871576567816, y=0.15176109991832737, z=0.026558090547785837)",1745571467961483188
"geometry_msgs.msg.Vector3(x=0.08044711058288538, y=0.008658191829294741, z=1.273804916696559)","geometry_msgs.msg.Vector3(x=0.00834871576567816, y=0.15176109991832737, z=0.026558090547785837)",1745571467994516447
"geometry_msgs.msg.Vector3(x=0.08025150548284245, y=0.008396840634213388, z=1.254142093990467)","geometry_msgs.msg.Vector3(x=0.008881872318205279, y=0.15191702444263602, z=0.026556554223952495)",1745571468026341021
"geometry_msgs.msg.Vector3(x=0.0802721712452637, y=0.008499371656871445, z=1.1184513787599333)","geometry_msgs.msg.Vector3(x=0.008698315491990717, y=0.15194291529626344, z=0.026571248904829824)",1745571468059115828
"geometry_msgs.msg.Vector3(x=0.0802721712452637, y=0.008499371656871445, z=1.1184513787599333)","geometry_msgs.msg.Vector3(x=0.008698315491990717, y=0.15194291529626344, z=0.026571248904829824)",1745571468093480433
"geometry_msgs.msg.Vector3(x=0.08035783641410374, y=0.008689207152814295, z=1.1074799603500018)","geometry_msgs.msg.Vector3(x=0.008336899504020629, y=0.15191683540659842, z=0.026586464132602107)",1745571468128741579
"geometry_msgs.msg.Vector3(x=0.08033318018301633, y=0.008807378816453682, z=1.177600601800402)","geometry_msgs.msg.Vector3(x=0.00814722963670761, y=0.15201989844856717, z=0.026615233040475306)",1745571468158870489
"geometry_msgs.msg.Vector3(x=0.08033318018301633, y=0.008807378816453682, z=1.177600601800402)","geometry_msgs.msg.Vector3(x=0.00814722963670761, y=0.15201989844856717, z=0.026615233040475306)",1745571468191576744
"geometry_msgs.msg.Vector3(x=0.08025150548284245, y=0.008396840634213388, z=1.1805190387853708)","geometry_msgs.msg.Vector3(x=0.008881872318205279, y=0.15191702444263602, z=0.026556554223952495)",1745571468227039168
"geometry_msgs.msg.Vector3(x=0.08013720309198835, y=0.008546380801658773, z=1.2222873557167664)","geometry_msgs.msg.Vector3(x=0.00867983327901251, y=0.1521740983384319, z=0.026613420073489377)",1745571468256665849
"geometry_msgs.msg.Vector3(x=0.08010064825345847, y=0.00910163055465634, z=1.1824746364705125)","geometry_msgs.msg.Vector3(x=0.007746423207651567, y=0.1525307617316155, z=0.026728200263889158)",1745571468290315825
"geometry_msgs.msg.Vector3(x=0.08010064825345847, y=0.00910163055465634, z=1.1824746364705125)","geometry_msgs.msg.Vector3(x=0.007746423207651567, y=0.1525307617316155, z=0.026728200263889158)",1745571468326486787
"geometry_msgs.msg.Vector3(x=0.0800613284080725, y=0.008897957592734082, z=1.202482234435317)","geometry_msgs.msg.Vector3(x=0.008112603914878443, y=0.15248007812737435, z=0.026699057649330463)",1745571468356983327
"geometry_msgs.msg.Vector3(x=0.0800613284080725, y=0.008897957592734082, z=1.202482234435317)","geometry_msgs.msg.Vector3(x=0.008112603914878443, y=0.15248007812737435, z=0.026699057649330463)",1745571468389958611
"geometry_msgs.msg.Vector3(x=0.08004142248652465, y=0.008796220307162721, z=1.0676156917368247)","geometry_msgs.msg.Vector3(x=0.00829559294345868, y=0.1524545636497854, z=0.026684461169332215)",1745571468426362272
"geometry_msgs.msg.Vector3(x=0.07992993171680185, y=0.008725017803197807, z=1.1074799603500018)","geometry_msgs.msg.Vector3(x=0.008466468859534676, y=0.15258049314248384, z=0.026697490600116107)",1745571468455394235
"geometry_msgs.msg.Vector3(x=0.07992993171680185, y=0.008725017803197807, z=1.1074799603500018)","geometry_msgs.msg.Vector3(x=0.008466468859534676, y=0.15258049314248384, z=0.026697490600116107)",1745571468489984576
"geometry_msgs.msg.Vector3(x=0.07983143373278993, y=0.00897210837556363, z=1.1236056394868903)","geometry_msgs.msg.Vector3(x=0.008083793649255398, y=0.15285718900410253, z=0.026767774655166863)",1745571468525730588
"geometry_msgs.msg.Vector3(x=0.07991662170785147, y=0.009159720233554672, z=1.1679999508426693)","geometry_msgs.msg.Vector3(x=0.007724404875227221, y=0.1528328678884242, z=0.026783191597981718)",1745571468554810414
"geometry_msgs.msg.Vector3(x=0.07991662170785147, y=0.009159720233554672, z=1.1679999508426693)","geometry_msgs.msg.Vector3(x=0.007724404875227221, y=0.1528328678884242, z=0.026783191597981718)",1745571468587262167
"geometry_msgs.msg.Vector3(x=0.07991662170785147, y=0.009159720233554672, z=1.0911044519645503)","geometry_msgs.msg.Vector3(x=0.007724404875227221, y=0.1528328678884242, z=0.026783191597981718)",1745571468624256969
"geometry_msgs.msg.Vector3(x=0.07985095665168031, y=0.009073083464655901, z=1.1412166872805047)","geometry_msgs.msg.Vector3(x=0.007901382348154323, y=0.15288256078289314, z=0.026782313988374697)",1745571468654262100
"geometry_msgs.msg.Vector3(x=0.07985095665168031, y=0.009073083464655901, z=1.1412166872805047)","geometry_msgs.msg.Vector3(x=0.007901382348154323, y=0.15288256078289314, z=0.026782313988374697)",1745571468687756226
"geometry_msgs.msg.Vector3(x=0.0797580800292543, y=0.009102076632048494, z=1.1340913308956662)","geometry_msgs.msg.Vector3(x=0.007890127802729454, y=0.15303178110410165, z=0.026809496866734065)",1745571468723419518
"geometry_msgs.msg.Vector3(x=0.07966473699251099, y=0.009130878601138816, z=1.1923743716582889)","geometry_msgs.msg.Vector3(x=0.00787887989027154, y=0.15318008344806994, z=0.026836515960520606)",1745571468753100985
"geometry_msgs.msg.Vector3(x=0.07966473699251099, y=0.009130878601138816, z=1.1923743716582889)","geometry_msgs.msg.Vector3(x=0.00787887989027154, y=0.15318008344806994, z=0.026836515960520606)",1745571468785974272
"geometry_msgs.msg.Vector3(x=0.07971198347082847, y=0.00964691059692256, z=1.1530338331657843)","geometry_msgs.msg.Vector3(x=0.006963437723145155, y=0.15337887827032878, z=0.026922204828171432)",1745571468821302537
"geometry_msgs.msg.Vector3(x=0.07966473699251099, y=0.009130878601138816, z=1.1933756729740645)","geometry_msgs.msg.Vector3(x=0.00787887989027154, y=0.15318008344806994, z=0.026836515960520606)",1745571468852370650
"geometry_msgs.msg.Vector3(x=0.07966473699251099, y=0.009130878601138816, z=1.1933756729740645)","geometry_msgs.msg.Vector3(x=0.00787887989027154, y=0.15318008344806994, z=0.026836515960520606)",1745571468883283193
"geometry_msgs.msg.Vector3(x=0.07971146646009172, y=0.009116501488859348, z=1.1358624017812644)","geometry_msgs.msg.Vector3(x=0.00788450301235164, y=0.1531060468677587, z=0.026823026859295968)",1745571468918355214
"geometry_msgs.msg.Vector3(x=0.07990397707205286, y=0.008841352646063774, z=1.2881581841179681)","geometry_msgs.msg.Vector3(x=0.00827791476598062, y=0.15268153901697587, z=0.026725839101594578)",1745571468950987876
"geometry_msgs.msg.Vector3(x=0.07990397707205286, y=0.008841352646063774, z=1.2881581841179681)","geometry_msgs.msg.Vector3(x=0.00827791476598062, y=0.15268153901697587, z=0.026725839101594578)",1745571468984227200
"geometry_msgs.msg.Vector3(x=0.07969928663247067, y=0.008800335530915106, z=1.1167461427346155)","geometry_msgs.msg.Vector3(x=0.008436386501781589, y=0.15295535527143164, z=0.026765877174596543)",1745571469016635879
"geometry_msgs.msg.Vector3(x=0.07967936478202522, y=0.008699886028201046, z=1.0768622310856881)","geometry_msgs.msg.Vector3(x=0.0086183376139557, y=0.15292965042636286, z=0.02675130383337692)",1745571469049280663
"geometry_msgs.msg.Vector3(x=0.07967936478202522, y=0.008699886028201046, z=1.0768622310856881)","geometry_msgs.msg.Vector3(x=0.0086183376139557, y=0.15292965042636286, z=0.02675130383337692)",1745571469083716753
"geometry_msgs.msg.Vector3(x=0.07972568571084811, y=0.008684755527597607, z=1.0374232262686236)","geometry_msgs.msg.Vector3(x=0.008624479244385124, y=0.15285513213984692, z=0.026737700488391143)",1745571469117368550
"geometry_msgs.msg.Vector3(x=0.08004660360423936, y=0.00857747399682574, z=1.0886988815041647)","geometry_msgs.msg.Vector3(x=0.00866752024616812, y=0.15232705794329499, z=0.02664132678517074)",1745571469147153965
"geometry_msgs.msg.Vector3(x=0.08004660360423936, y=0.00857747399682574, z=1.0886988815041647)","geometry_msgs.msg.Vector3(x=0.00866752024616812, y=0.15232705794329499, z=0.02664132678517074)",1745571469181244458
"geometry_msgs.msg.Vector3(x=0.08090782751620192, y=0.00837905594020341, z=1.2749857033260468)","geometry_msgs.msg.Vector3(x=0.008599321339752072, y=0.15086200698217228, z=0.026384262707828926)",1745571469215333208
"geometry_msgs.msg.Vector3(x=0.08018231734630175, y=0.008530760385506998, z=1.2014618744678442)","geometry_msgs.msg.Vector3(x=0.00868599233959244, y=0.15209727011669316, z=0.026599404551565575)",1745571469246863511
"geometry_msgs.msg.Vector3(x=0.08018231734630175, y=0.008530760385506998, z=1.2014618744678442)","geometry_msgs.msg.Vector3(x=0.00868599233959244, y=0.15209727011669316, z=0.026599404551565575)",1745571469281286306
"geometry_msgs.msg.Vector3(x=0.08031300883546044, y=0.008704641304543362, z=1.1305694642948356)","geometry_msgs.msg.Vector3(x=0.008330993738022315, y=0.15199435242036238, z=0.02660058835735998)",1745571469313463246
"geometry_msgs.msg.Vector3(x=0.08042951404813108, y=0.008332801737274468, z=1.1974018332996217)","geometry_msgs.msg.Vector3(x=0.008907054640130932, y=0.15160549252056194, z=0.026499711050906028)",1745571469347236277
"geometry_msgs.msg.Vector3(x=0.08042951404813108, y=0.008332801737274468, z=1.1974018332996217)","geometry_msgs.msg.Vector3(x=0.008907054640130932, y=0.15160549252056194, z=0.026499711050906028)",1745571469382498612
"geometry_msgs.msg.Vector3(x=0.08055626532148005, y=0.008730557330867752, z=1.139425035941821)","geometry_msgs.msg.Vector3(x=0.008176127341753976, y=0.15162999797434612, z=0.026544234400831163)",1745571469413774263
"geometry_msgs.msg.Vector3(x=0.08079655741054954, y=0.008757004236046147, z=1.020001270001905)","geometry_msgs.msg.Vector3(x=0.00801993485673155, y=0.15125970160021587, z=0.0264868955125257)",1745571469441993265
