_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.5629978716842583, y=0.04251032039486394, z=0.004150941689820003)","geometry_msgs.msg.Vector3(x=0.013322487103294655, y=0.003800458703447688, z=0.07600917406895381)",1745571467592632938
"geometry_msgs.msg.Vector3(x=0.5629978716842583, y=0.04251032039486394, z=0.004150941689820003)","geometry_msgs.msg.Vector3(x=0.013322487103294655, y=0.003800458703447688, z=0.07600917406895381)",1745571467625417877
"geometry_msgs.msg.Vector3(x=0.5525333127997017, y=0.04253255484651215, z=0.004363443862650654)","geometry_msgs.msg.Vector3(x=0.013358637115890285, y=0.003429496398774152, z=0.07609774441604243)",1745571467659994575
"geometry_msgs.msg.Vector3(x=0.5578982040959168, y=0.0425213508639174, z=0.004202309622050247)","geometry_msgs.msg.Vector3(x=0.013329779812087196, y=0.0037083765298071896, z=0.07602171886104754)",1745571467694479966
"geometry_msgs.msg.Vector3(x=0.5578982040959168, y=0.0425213508639174, z=0.004202309622050247)","geometry_msgs.msg.Vector3(x=0.013329779812087196, y=0.0037083765298071896, z=0.07602171886104754)",1745571467725411929
"geometry_msgs.msg.Vector3(x=0.5673632757143126, y=0.04256377446236215, z=0.004188067834543048)","geometry_msgs.msg.Vector3(x=0.01331563302410844, y=0.00371363696464454, z=0.07594387592698092)",1745571467759950593
"geometry_msgs.msg.Vector3(x=0.5643598341804583, y=0.0425539337026136, z=0.004356610901815474)","geometry_msgs.msg.Vector3(x=0.013351607065027499, y=0.003431930757153035, z=0.07605900596933751)",1745571467795011766
"geometry_msgs.msg.Vector3(x=0.5643598341804583, y=0.0425539337026136, z=0.004356610901815474)","geometry_msgs.msg.Vector3(x=0.013351607065027499, y=0.003431930757153035, z=0.07605900596933751)",1745571467830823618
"geometry_msgs.msg.Vector3(x=0.5847283238825977, y=0.042521800849119135, z=0.004312061906271959)","geometry_msgs.msg.Vector3(x=0.013351373877167609, y=0.0035216130087447717, z=0.07608537579419608)",1745571467862966237
"geometry_msgs.msg.Vector3(x=0.5847283238825977, y=0.042521800849119135, z=0.004312061906271959)","geometry_msgs.msg.Vector3(x=0.013351373877167609, y=0.0035216130087447717, z=0.07608537579419608)",1745571467897040074
"geometry_msgs.msg.Vector3(x=0.5978283784079472, y=0.042542596290060276, z=0.0041952003937534635)","geometry_msgs.msg.Vector3(x=0.013322716864485048, y=0.003711006396388499, z=0.07598285596605447)",1745571467930261356
"geometry_msgs.msg.Vector3(x=0.638460885291206, y=0.04250755107855227, z=0.003930724556430583)","geometry_msgs.msg.Vector3(x=0.013279045273892918, y=0.00417435788283908, z=0.07588054995916368)",1745571467961640301
"geometry_msgs.msg.Vector3(x=0.638460885291206, y=0.04250755107855227, z=0.003930724556430583)","geometry_msgs.msg.Vector3(x=0.013279045273892918, y=0.00417435788283908, z=0.07588054995916368)",1745571467994646999
"geometry_msgs.msg.Vector3(x=0.6285859613425074, y=0.04240961640468114, z=0.0038000720037474063)","geometry_msgs.msg.Vector3(x=0.013278277111976248, y=0.004440936159102639, z=0.07595851222131801)",1745571468027029860
"geometry_msgs.msg.Vector3(x=0.5607567779770993, y=0.042421213028447216, z=0.003851117094863275)","geometry_msgs.msg.Vector3(x=0.013285624452414912, y=0.0043491577459953586, z=0.07597145764813172)",1745571468059206543
"geometry_msgs.msg.Vector3(x=0.5607567779770993, y=0.042421213028447216, z=0.003851117094863275)","geometry_msgs.msg.Vector3(x=0.013285624452414912, y=0.0043491577459953586, z=0.07597145764813172)",1745571468094071293
"geometry_msgs.msg.Vector3(x=0.5553017593487541, y=0.042465354122455654, z=0.003945806614418116)","geometry_msgs.msg.Vector3(x=0.013293232066301054, y=0.0041684497520103145, z=0.07595841770329921)",1745571468128932838
"geometry_msgs.msg.Vector3(x=0.5903799376281726, y=0.042455500132989044, z=0.004004460912619711)","geometry_msgs.msg.Vector3(x=0.013307616520237653, y=0.004073614818353805, z=0.07600994922428359)",1745571468159034797
"geometry_msgs.msg.Vector3(x=0.5903799376281726, y=0.042455500132989044, z=0.004004460912619711)","geometry_msgs.msg.Vector3(x=0.013307616520237653, y=0.004073614818353805, z=0.07600994922428359)",1745571468192421274
"geometry_msgs.msg.Vector3(x=0.5917744337399593, y=0.04240961640468114, z=0.0038000720037474063)","geometry_msgs.msg.Vector3(x=0.013278277111976248, y=0.004440936159102639, z=0.07595851222131801)",1745571468227366510
