_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.39895053022772586, y=-0.13307184460493712, z=0.007957019044012258)","geometry_msgs.msg.Vector3(x=-0.003021455485886091, y=0.05828217636943726, z=-0.14595085616750852)",1745570215970242296
"geometry_msgs.msg.Vector3(x=0.3991424183609592, y=-0.13171431296640285, z=0.007746458494161647)","geometry_msgs.msg.Vector3(x=-0.0029363658548517864, y=0.0583223987103991, z=-0.14478980859250426)",1745570216002687866
"geometry_msgs.msg.Vector3(x=0.3991424183609592, y=-0.13171431296640285, z=0.007746458494161647)","geometry_msgs.msg.Vector3(x=-0.0029363658548517864, y=0.0583223987103991, z=-0.14478980859250426)",1745570216046370267
"geometry_msgs.msg.Vector3(x=0.4977337402710529, y=-0.12801533483311328, z=0.007066538546012373)","geometry_msgs.msg.Vector3(x=-0.0028850083328050453, y=0.07543875949340452, z=-0.14461792108164276)",1745570216069451583
"geometry_msgs.msg.Vector3(x=0.41167348842636475, y=-0.1292305111435507, z=0.0070940502468198096)","geometry_msgs.msg.Vector3(x=-0.0031144667724425576, y=0.06076451169300563, z=-0.1430473838092868)",1745570216102741557
"geometry_msgs.msg.Vector3(x=0.41167348842636475, y=-0.1292305111435507, z=0.0070940502468198096)","geometry_msgs.msg.Vector3(x=-0.0031144667724425576, y=0.06076451169300563, z=-0.1430473838092868)",1745570216136707912
"geometry_msgs.msg.Vector3(x=0.4533794148712704, y=-0.12745326494719786, z=0.006844693899916851)","geometry_msgs.msg.Vector3(x=-0.0030163187521285197, y=0.06794938666518922, z=-0.14281190272771843)",1745570216172326276
"geometry_msgs.msg.Vector3(x=0.4533794148712704, y=-0.12745326494719786, z=0.006844693899916851)","geometry_msgs.msg.Vector3(x=-0.0030163187521285197, y=0.06794938666518922, z=-0.14281190272771843)",1745570216203045531
"geometry_msgs.msg.Vector3(x=0.43124269936248094, y=-0.12548557922604914, z=0.0067279482390072125)","geometry_msgs.msg.Vector3(x=-0.00275210173538366, y=0.06402002914052216, z=-0.14052672792932772)",1745570216237095901
"geometry_msgs.msg.Vector3(x=0.41167348842636475, y=-0.12231210359441126, z=0.006185811451903264)","geometry_msgs.msg.Vector3(x=-0.0027587039219609324, y=0.06081413640867289, z=-0.1373381243517352)",1745570216270738688
"geometry_msgs.msg.Vector3(x=0.4098281873006977, y=-0.12230223385704653, z=0.00618462935318018)","geometry_msgs.msg.Vector3(x=-0.0027582417971313486, y=0.060496824700823806, z=-0.1372747532111186)",1745570216302329987
"geometry_msgs.msg.Vector3(x=0.4098281873006977, y=-0.12230223385704653, z=0.00618462935318018)","geometry_msgs.msg.Vector3(x=-0.0027582417971313486, y=0.060496824700823806, z=-0.1372747532111186)",1745570216334736575
"geometry_msgs.msg.Vector3(x=0.4294159532159296, y=-0.12000740304457695, z=0.005768960616618689)","geometry_msgs.msg.Vector3(x=-0.0028140037629019767, y=0.0640201490229951, z=-0.13599889613111737)",1745570216368952773
"geometry_msgs.msg.Vector3(x=0.4294159532159296, y=-0.12000740304457695, z=0.005768960616618689)","geometry_msgs.msg.Vector3(x=-0.0028140037629019767, y=0.0640201490229951, z=-0.13599889613111737)",1745570216401782254
"geometry_msgs.msg.Vector3(x=0.4460402407201608, y=-0.11795334267583739, z=0.005841895123615733)","geometry_msgs.msg.Vector3(x=-0.002404466116422088, y=0.06662825716502994, z=-0.13486749378129526)",1745570216443872598
"geometry_msgs.msg.Vector3(x=0.43518526522995327, y=-0.11620613252407486, z=0.005659690297736405)","geometry_msgs.msg.Vector3(x=-0.002331829833406681, y=0.06477786923197401, z=-0.13314819910355136)",1745570216468200863
"geometry_msgs.msg.Vector3(x=0.43518526522995327, y=-0.11620613252407486, z=0.005659690297736405)","geometry_msgs.msg.Vector3(x=-0.002331829833406681, y=0.06477786923197401, z=-0.13314819910355136)",1745570216502325671
"geometry_msgs.msg.Vector3(x=0.46645027925922977, y=-0.11446291844746513, z=0.005637517758354405)","geometry_msgs.msg.Vector3(x=-0.0021022618780299, y=0.07003851530117905, z=-0.13271125720989912)",1745570216538984301
"geometry_msgs.msg.Vector3(x=0.45056240739441433, y=-0.11265707857122179, z=0.005313870304199137)","geometry_msgs.msg.Vector3(x=-0.0021912414128605028, y=0.06745882927748498, z=-0.13079635915777751)",1745570216570274883
"geometry_msgs.msg.Vector3(x=0.45056240739441433, y=-0.11265707857122179, z=0.005313870304199137)","geometry_msgs.msg.Vector3(x=-0.0021912414128605028, y=0.06745882927748498, z=-0.13079635915777751)",1745570216603569425
"geometry_msgs.msg.Vector3(x=0.4480368910103817, y=-0.11011176395212167, z=0.0053912593592724736)","geometry_msgs.msg.Vector3(x=-0.0017779706688487232, y=0.06678476069755777, z=-0.12873452322645726)",1745570216637878866
"geometry_msgs.msg.Vector3(x=0.4480368910103817, y=-0.11011176395212167, z=0.0053912593592724736)","geometry_msgs.msg.Vector3(x=-0.0017779706688487232, y=0.06678476069755777, z=-0.12873452322645726)",1745570216668400375
"geometry_msgs.msg.Vector3(x=0.40440443735953335, y=-0.10830390924107622, z=0.005238701023468459)","geometry_msgs.msg.Vector3(x=-0.0017124719371223174, y=0.059301096652268265, z=-0.12600521071966886)",1745570216703343228
"geometry_msgs.msg.Vector3(x=0.46020573598065284, y=-0.10484900721659597, z=0.004812226880068339)","geometry_msgs.msg.Vector3(x=-0.0017485167368512557, y=0.06907424251477938, z=-0.1249606047902647)",1745570216735566737
"geometry_msgs.msg.Vector3(x=0.42470507073017116, y=-0.10461366198765071, z=0.004485650312581008)","geometry_msgs.msg.Vector3(x=-0.002055050297919799, y=0.06323661131702789, z=-0.12368963744964082)",1745570216768572033
"geometry_msgs.msg.Vector3(x=0.42470507073017116, y=-0.10461366198765071, z=0.004485650312581008)","geometry_msgs.msg.Vector3(x=-0.002055050297919799, y=0.06323661131702789, z=-0.12368963744964082)",1745570216801857949
"geometry_msgs.msg.Vector3(x=0.5096595118847418, y=-0.1004843197598916, z=0.0035742207310647685)","geometry_msgs.msg.Vector3(x=-0.0025366390158106204, y=0.07842890896962205, z=-0.12295925602880055)",1745570216834202553
"geometry_msgs.msg.Vector3(x=0.5096595118847418, y=-0.1004843197598916, z=0.0035742207310647685)","geometry_msgs.msg.Vector3(x=-0.0025366390158106204, y=0.07842890896962205, z=-0.12295925602880055)",1745570216867457642
"geometry_msgs.msg.Vector3(x=0.5158852038148363, y=-0.096990409811007, z=0.0030421872520725447)","geometry_msgs.msg.Vector3(x=-0.0027245444994717614, y=0.07980678042388878, z=-0.12038322171973986)",1745570216900257778
"geometry_msgs.msg.Vector3(x=0.5183562658187234, y=-0.0920873335980997, z=0.0026141212878045455)","geometry_msgs.msg.Vector3(x=-0.0027047527505828957, y=0.08042715258150242, z=-0.11658904804284514)",1745570216944685028
"geometry_msgs.msg.Vector3(x=0.46181565851627526, y=-0.08682478354883698, z=0.0025253834145482824)","geometry_msgs.msg.Vector3(x=-0.0023620690783301233, y=0.07064767383370801, z=-0.11073991014766929)",1745570216965705630
"geometry_msgs.msg.Vector3(x=0.46181565851627526, y=-0.08682478354883698, z=0.0025253834145482824)","geometry_msgs.msg.Vector3(x=-0.0023620690783301233, y=0.07064767383370801, z=-0.11073991014766929)",1745570216998422713
"geometry_msgs.msg.Vector3(x=0.4867609802904955, y=-0.08360451553861788, z=0.0024010760692005843)","geometry_msgs.msg.Vector3(x=-0.0022435019216819566, y=0.07498754490013615, z=-0.10891922163802907)",1745570217032095094
"geometry_msgs.msg.Vector3(x=0.4867609802904955, y=-0.08360451553861788, z=0.0024010760692005843)","geometry_msgs.msg.Vector3(x=-0.0022435019216819566, y=0.07498754490013615, z=-0.10891922163802907)",1745570217064434688
"geometry_msgs.msg.Vector3(x=0.5296536707079771, y=-0.07373718464470572, z=0.0019784004614285637)","geometry_msgs.msg.Vector3(x=-0.002004661106026706, y=0.08265699772786994, z=-0.10218646858538583)",1745570217096290246
"geometry_msgs.msg.Vector3(x=0.5263126321486327, y=-0.07085651731451499, z=0.0019309336836938356)","geometry_msgs.msg.Vector3(x=-0.0018813983247043323, y=0.08213461799385094, z=-0.09970092632159783)",1745570217131101636
"geometry_msgs.msg.Vector3(x=0.5190675499119308, y=-0.06633522730771373, z=0.001733230014355172)","geometry_msgs.msg.Vector3(x=-0.0018225287328342502, y=0.08109876990197273, z=-0.095671082258087)",1745570217164184506
"geometry_msgs.msg.Vector3(x=0.5190675499119308, y=-0.06633522730771373, z=0.001733230014355172)","geometry_msgs.msg.Vector3(x=-0.0018225287328342502, y=0.08109876990197273, z=-0.095671082258087)",1745570217195035335
"geometry_msgs.msg.Vector3(x=0.5208561330552779, y=-0.06121885038581854, z=0.0012763188649320728)","geometry_msgs.msg.Vector3(x=-0.002000545502911384, y=0.08187627266737174, z=-0.09128969700711848)",1745570217224529321
"geometry_msgs.msg.Vector3(x=0.4541548959992727, y=-0.05509508288205127, z=0.001326712923296757)","geometry_msgs.msg.Vector3(x=-0.0016579626052872758, y=0.07053226052539696, z=-0.08388015126718792)",1745570217261955271
"geometry_msgs.msg.Vector3(x=0.4541548959992727, y=-0.05509508288205127, z=0.001326712923296757)","geometry_msgs.msg.Vector3(x=-0.0016579626052872758, y=0.07053226052539696, z=-0.08388015126718792)",1745570217295448200
"geometry_msgs.msg.Vector3(x=0.41989642503346614, y=-0.05324149273278528, z=0.0007769087210292457)","geometry_msgs.msg.Vector3(x=-0.0021056624807881223, y=0.06515841556783537, z=-0.08111545726883575)",1745570217330174492
"geometry_msgs.msg.Vector3(x=0.41989642503346614, y=-0.05324149273278528, z=0.0007769087210292457)","geometry_msgs.msg.Vector3(x=-0.0021056624807881223, y=0.06515841556783537, z=-0.08111545726883575)",1745570217362210905
"geometry_msgs.msg.Vector3(x=0.4305555555555556, y=-0.04929942905199766, z=0.0008633691360988547)","geometry_msgs.msg.Vector3(x=-0.0018457702619285102, y=0.06707809811037843, z=-0.0778070209068139)",1745570217396150481
"geometry_msgs.msg.Vector3(x=0.4242626520905062, y=-0.04567745740692592, z=0.0006877879391032632)","geometry_msgs.msg.Vector3(x=-0.001859388110535638, y=0.06631271145649657, z=-0.0741649246686239)",1745570217428704853
"geometry_msgs.msg.Vector3(x=0.4242626520905062, y=-0.04567745740692592, z=0.0006877879391032632)","geometry_msgs.msg.Vector3(x=-0.001859388110535638, y=0.06631271145649657, z=-0.0741649246686239)",1745570217467164897
"geometry_msgs.msg.Vector3(x=0.4166892375217993, y=-0.043095970952793036, z=0.0006416274621973269)","geometry_msgs.msg.Vector3(x=-0.0017941639516036358, y=0.06518650382970088, z=-0.0714258582213938)",1745570217494195523
"geometry_msgs.msg.Vector3(x=0.4305555555555556, y=-0.04074800065358524, z=0.0004655893546444244)","geometry_msgs.msg.Vector3(x=-0.0018672845138189868, y=0.06785689421870557, z=-0.06949353923209756)",1745570217527459509
"geometry_msgs.msg.Vector3(x=0.4305555555555556, y=-0.04074800065358524, z=0.0004655893546444244)","geometry_msgs.msg.Vector3(x=-0.0018672845138189868, y=0.06785689421870557, z=-0.06949353923209756)",1745570217560960683
"geometry_msgs.msg.Vector3(x=0.40361487027232346, y=-0.03627237613167016, z=0.00028761818521143236)","geometry_msgs.msg.Vector3(x=-0.001854345353896337, y=0.06367085397339894, z=-0.06408776813349895)",1745570217593050735
"geometry_msgs.msg.Vector3(x=0.5566773539365149, y=-0.034392933388675766, z=0.000526081428943694)","geometry_msgs.msg.Vector3(x=-0.001538276285644671, y=0.08993371865818418, z=-0.06672942469010955)",1745570217627506928
"geometry_msgs.msg.Vector3(x=0.5566773539365149, y=-0.034392933388675766, z=0.000526081428943694)","geometry_msgs.msg.Vector3(x=-0.001538276285644671, y=0.08993371865818418, z=-0.06672942469010955)",1745570217658748369
"geometry_msgs.msg.Vector3(x=0.5274206215497657, y=-0.029387700522625713, z=0.0002186333198401622)","geometry_msgs.msg.Vector3(x=-0.001628474737173466, y=0.08558053960656457, z=-0.06033294857978391)",1745570217693558547
"geometry_msgs.msg.Vector3(x=0.4578155051501961, y=-0.02842595142150969, z=0.0004154110706751758)","geometry_msgs.msg.Vector3(x=-0.0013880591258997807, y=0.07352618402281828, z=-0.0571829918506344)",1745570217725094333
"geometry_msgs.msg.Vector3(x=0.4578155051501961, y=-0.02842595142150969, z=0.0004154110706751758)","geometry_msgs.msg.Vector3(x=-0.0013880591258997807, y=0.07352618402281828, z=-0.0571829918506344)",1745570217756713844
"geometry_msgs.msg.Vector3(x=0.43032707289914907, y=-0.02650010522864648, z=-4.5312644117699264e-05)","geometry_msgs.msg.Vector3(x=-0.0017671867629142721, y=0.0693845382914883, z=-0.054068944792466364)",1745570217802300580
"geometry_msgs.msg.Vector3(x=0.4152118045492148, y=-0.02384936420292587, z=0.0003086676754775283)","geometry_msgs.msg.Vector3(x=-0.0012856133522382669, y=0.06674992538161255, z=-0.050514294921205946)",1745570217823994458
"geometry_msgs.msg.Vector3(x=0.4152118045492148, y=-0.02384936420292587, z=0.0003086676754775283)","geometry_msgs.msg.Vector3(x=-0.0012856133522382669, y=0.06674992538161255, z=-0.050514294921205946)",1745570217857910942
"geometry_msgs.msg.Vector3(x=0.4347170785495562, y=-0.022098895725556414, z=0.00012149889106116647)","geometry_msgs.msg.Vector3(x=-0.0013935021820871648, y=0.07046582501259643, z=-0.048920783172546896)",1745570217889747615
"geometry_msgs.msg.Vector3(x=0.4653499056935779, y=-0.020495314307527004, z=0.0002843244622625917)","geometry_msgs.msg.Vector3(x=-0.00114680847308379, y=0.07577927621267273, z=-0.04784485734347331)",1745570217923441456
"geometry_msgs.msg.Vector3(x=0.4653499056935779, y=-0.020495314307527004, z=0.0002843244622625917)","geometry_msgs.msg.Vector3(x=-0.00114680847308379, y=0.07577927621267273, z=-0.04784485734347331)",1745570217957090143
"geometry_msgs.msg.Vector3(x=0.5, y=-0.01861220297579647, z=0.0001484865598474387)","geometry_msgs.msg.Vector3(x=-0.0011913212073302788, y=0.0820975247156768, z=-0.04641992921224319)",1745570217990821714
"geometry_msgs.msg.Vector3(x=0.5710575579871306, y=-0.015178802341797616, z=0.0004497792980623146)","geometry_msgs.msg.Vector3(x=-0.0006867626583960348, y=0.09451848662187823, z=-0.043932744417897185)",1745570218022969303
"geometry_msgs.msg.Vector3(x=0.5710575579871306, y=-0.015178802341797616, z=0.0004497792980623146)","geometry_msgs.msg.Vector3(x=-0.0006867626583960348, y=0.09451848662187823, z=-0.043932744417897185)",1745570218055157226
"geometry_msgs.msg.Vector3(x=0.4656244232186183, y=-0.015356520149889884, z=0.0003198756348464052)","geometry_msgs.msg.Vector3(x=-0.0008342277226042498, y=0.07647723442787221, z=-0.040996194407565106)",1745570218088854955
"geometry_msgs.msg.Vector3(x=0.5124039982523504, y=-0.013960852763514574, z=0.0005007857178048905)","geometry_msgs.msg.Vector3(x=-0.0005602320677318955, y=0.08456492530329743, z=-0.040448504352645444)",1745570218119943292
"geometry_msgs.msg.Vector3(x=0.5124039982523504, y=-0.013960852763514574, z=0.0005007857178048905)","geometry_msgs.msg.Vector3(x=-0.0005602320677318955, y=0.08456492530329743, z=-0.040448504352645444)",1745570218155919078
"geometry_msgs.msg.Vector3(x=0.4656244232186183, y=-0.012717788572206557, z=0.0005645673746570821)","geometry_msgs.msg.Vector3(x=-0.0004149232602273889, y=0.07665394527005696, z=-0.037239931245032734)",1745570218190630693
"geometry_msgs.msg.Vector3(x=0.4993499738230873, y=-0.011097281296691821, z=0.0006935766207756693)","geometry_msgs.msg.Vector3(x=-0.00016949600030117, y=0.08260135742135269, z=-0.03582844358384879)",1745570218220469418
"geometry_msgs.msg.Vector3(x=0.4993499738230873, y=-0.011097281296691821, z=0.0006935766207756693)","geometry_msgs.msg.Vector3(x=-0.00016949600030117, y=0.08260135742135269, z=-0.03582844358384879)",1745570218263522744
"geometry_msgs.msg.Vector3(x=0.48313031926314987, y=-0.010133887932537436, z=0.0006388680319661193)","geometry_msgs.msg.Vector3(x=-0.0001619437546392325, y=0.08003078485616687, z=-0.03382927478625021)",1745570218286445968
"geometry_msgs.msg.Vector3(x=0.48313031926314987, y=-0.010133887932537436, z=0.0006388680319661193)","geometry_msgs.msg.Vector3(x=-0.0001619437546392325, y=0.08003078485616687, z=-0.03382927478625021)",1745570218319537975
