_layout,_data,timestamp
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-499.0, 38.5, 1.5958021209109035, 355.0, 148.5])",1745570215968672319
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-495.0, 38.5, 1.5965696734438368, 359.0, 148.5])",1745570216001606474
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-495.0, 38.5, 1.5965696734438368, 359.0, 148.5])",1745570216044983500
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-484.5, 38.0, 1.9909349610842115, 369.5, 148.0])",1745570216068888591
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-488.0, 37.5, 1.646693953705459, 366.0, 147.5])",1745570216102732890
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-488.0, 37.5, 1.646693953705459, 366.0, 147.5])",1745570216135691401
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-483.0, 37.5, 1.8135176594850817, 371.0, 147.5])",1745570216171305205
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-483.0, 37.5, 1.8135176594850817, 371.0, 147.5])",1745570216202040199
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-477.5, 38.0, 1.7249707974499238, 376.5, 148.0])",1745570216236070263
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-469.0, 37.5, 1.646693953705459, 385.0, 147.5])",1745570216269813515
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-468.97369384765625, 37.5, 1.6393127492027908, 385.02630615234375, 147.5])",1745570216301286596
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-468.97369384765625, 37.5, 1.6393127492027908, 385.02630615234375, 147.5])",1745570216333199370
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-462.9662170410156, 37.0, 1.7176638128637185, 391.0337829589844, 147.0])",1745570216368026158
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-462.9662170410156, 37.0, 1.7176638128637185, 391.0337829589844, 147.0])",1745570216400761745
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-457.5, 38.0, 1.7841609628806432, 396.5, 148.0])",1745570216442554238
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-453.0, 38.0, 1.740741060919813, 401.0, 148.0])",1745570216467241306
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-453.0, 38.0, 1.740741060919813, 401.0, 148.0])",1745570216500638478
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-448.5, 38.5, 1.865801117036919, 405.5, 148.5])",1745570216537129507
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-443.9791564941406, 38.0, 1.8022496295776573, 410.0208435058594, 148.0])",1745570216568198519
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-443.9791564941406, 38.0, 1.8022496295776573, 410.0208435058594, 148.0])",1745570216601763592
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-437.5, 39.0, 1.7921475640415268, 416.5, 149.0])",1745570216636127544
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-437.5, 39.0, 1.7921475640415268, 416.5, 149.0])",1745570216666400833
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-433.0, 39.0, 1.6176177494381334, 421.0, 149.0])",1745570216701475650
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-424.5, 38.5, 1.8408229439226114, 429.5, 148.5])",1745570216733372886
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-424.0, 37.5, 1.6988202829206847, 430.0, 147.5])",1745570216765955810
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-424.0, 37.5, 1.6988202829206847, 430.0, 147.5])",1745570216799576466
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-414.0, 35.5, 2.038638047538967, 440.0, 145.5])",1745570216832125718
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-414.0, 35.5, 2.038638047538967, 440.0, 145.5])",1745570216865682435
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-405.5, 34.5, 2.063540815259345, 448.5, 144.5])",1745570216898584521
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-393.5, 34.0, 2.0734250632748936, 460.5, 144.0])",1745570216942187244
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-380.5, 34.5, 1.847262634065101, 473.5, 144.5])",1745570216963321496
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-380.5, 34.5, 1.847262634065101, 473.5, 144.5])",1745570216997549566
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-372.5, 34.5, 1.947043921161982, 481.5, 144.5])",1745570217029734694
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-372.5, 34.5, 1.947043921161982, 481.5, 144.5])",1745570217062660384
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-347.5, 34.0, 2.1186146828319083, 506.5, 144.0])",1745570217095060660
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-340.0, 34.0, 2.1052505285945307, 514.0, 144.0])",1745570217128649357
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-328.0, 33.5, 2.0762701996477233, 526.0, 143.5])",1745570217162095008
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-328.0, 33.5, 2.0762701996477233, 526.0, 143.5])",1745570217193479605
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-314.0, 32.0, 2.0834245322211116, 540.0, 142.0])",1745570217223527196
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-296.5, 32.0, 1.816619583997091, 557.5, 142.0])",1745570217261398600
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-296.5, 32.0, 1.816619583997091, 557.5, 142.0])",1745570217293390561
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-291.0, 30.0, 1.6795857001338645, 563.0, 140.0])",1745570217327731670
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-291.0, 30.0, 1.6795857001338645, 563.0, 140.0])",1745570217360241600
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-279.0, 30.0, 1.7222222222222223, 575.0, 140.0])",1745570217393801383
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-267.5, 29.0, 1.6970506083620247, 586.5, 139.0])",1745570217426125378
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [-267.5, 29.0, 1.6970506083620247, 586.5, 139.0])",1745570217460113834
