_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.06627301391900148, y=0.028751783818216487, z=0.0033809662239331784)","geometry_msgs.msg.Vector3(x=0.0050756655248531506, y=0.013923498503099364, z=0.04821131867354858)",1745570279921210777
"geometry_msgs.msg.Vector3(x=0.06461534459794926, y=0.02892332632728385, z=0.00441346630572432)","geometry_msgs.msg.Vector3(x=0.005567660391320991, y=0.012218209244234323, z=0.04849759479194525)",1745570279957337451
"geometry_msgs.msg.Vector3(x=0.06461534459794926, y=0.02892332632728385, z=0.00441346630572432)","geometry_msgs.msg.Vector3(x=0.005567660391320991, y=0.012218209244234323, z=0.04849759479194525)",1745570279992191510
"geometry_msgs.msg.Vector3(x=0.06643182814141527, y=0.028886886077963612, z=0.004198164527291319)","geometry_msgs.msg.Vector3(x=0.005459770491246284, y=0.01281958824927484, z=0.04835792741599583)",1745570280025372652
"geometry_msgs.msg.Vector3(x=0.06643182814141527, y=0.028886886077963612, z=0.004198164527291319)","geometry_msgs.msg.Vector3(x=0.005459770491246284, y=0.01281958824927484, z=0.04835792741599583)",1745570280060954468
"geometry_msgs.msg.Vector3(x=0.05998229804107569, y=0.028868259685357407, z=0.004208965928104678)","geometry_msgs.msg.Vector3(x=0.0054245545239606265, y=0.011643729489486093, z=0.048272954691601734)",1745570280092950176
"geometry_msgs.msg.Vector3(x=0.06387433912984358, y=0.028803455278836904, z=0.003568396314056041)","geometry_msgs.msg.Vector3(x=0.005207202127286132, y=0.01331158793789267, z=0.048625833692249036)",1745570280126083359
"geometry_msgs.msg.Vector3(x=0.06387433912984358, y=0.028803455278836904, z=0.003568396314056041)","geometry_msgs.msg.Vector3(x=0.005207202127286132, y=0.01331158793789267, z=0.048625833692249036)",1745570280159958466
"geometry_msgs.msg.Vector3(x=0.06579893238374479, y=0.028745847459004128, z=0.003370933714401065)","geometry_msgs.msg.Vector3(x=0.005062437352959101, y=0.013843678390569533, z=0.04816261674432481)",1745570280192769603
"geometry_msgs.msg.Vector3(x=0.05927740920285271, y=0.028714700543494998, z=0.0030778393200205246)","geometry_msgs.msg.Vector3(x=0.004969134813880859, y=0.0131946929654422, z=0.048623866159699915)",1745570280224473009
"geometry_msgs.msg.Vector3(x=0.05381487984817135, y=0.02859611112961514, z=0.002452898729938957)","geometry_msgs.msg.Vector3(x=0.0046701270407263264, y=0.013121657006091273, z=0.04863702334323024)",1745570280259278278
"geometry_msgs.msg.Vector3(x=0.05381487984817135, y=0.02859611112961514, z=0.002452898729938957)","geometry_msgs.msg.Vector3(x=0.0046701270407263264, y=0.013121657006091273, z=0.04863702334323024)",1745570280292419346
"geometry_msgs.msg.Vector3(x=0.05476000085134336, y=0.028776689167570053, z=0.003383511295624726)","geometry_msgs.msg.Vector3(x=0.005132396096545382, y=0.01201906711749614, z=0.04895274545814093)",1745570280323801728
"geometry_msgs.msg.Vector3(x=0.05476000085134336, y=0.028776689167570053, z=0.003383511295624726)","geometry_msgs.msg.Vector3(x=0.005132396096545382, y=0.01201906711749614, z=0.04895274545814093)",1745570280356666675
"geometry_msgs.msg.Vector3(x=0.05655229986039975, y=0.028796744694877, z=0.0034351304640076897)","geometry_msgs.msg.Vector3(x=0.005186643650028745, y=0.012297660790449352, z=0.04911920796284154)",1745570280389941680
"geometry_msgs.msg.Vector3(x=0.07539583873543929, y=0.02879918101917507, z=0.0034756911108169493)","geometry_msgs.msg.Vector3(x=0.0051930719040649675, y=0.01546405023059497, z=0.04847172938174678)",1745570280425687780
"geometry_msgs.msg.Vector3(x=0.06445193784558034, y=0.028828864803183443, z=0.0035944672647560687)","geometry_msgs.msg.Vector3(x=0.005276359312115324, y=0.013453461694912258, z=0.049011551871821255)",1745570280456909365
"geometry_msgs.msg.Vector3(x=0.06445193784558034, y=0.028828864803183443, z=0.0035944672647560687)","geometry_msgs.msg.Vector3(x=0.005276359312115324, y=0.013453461694912258, z=0.049011551871821255)",1745570280489409326
"geometry_msgs.msg.Vector3(x=0.06284960819434066, y=0.02885330703099003, z=0.003677197535605328)","geometry_msgs.msg.Vector3(x=0.005350770212399835, y=0.013110277734249305, z=0.049318501147223325)",1745570280524858537
"geometry_msgs.msg.Vector3(x=0.06284960819434066, y=0.02885330703099003, z=0.003677197535605328)","geometry_msgs.msg.Vector3(x=0.005350770212399835, y=0.013110277734249305, z=0.049318501147223325)",1745570280553887622
"geometry_msgs.msg.Vector3(x=0.0639822365046136, y=0.028919388108137198, z=0.004044491805792751)","geometry_msgs.msg.Vector3(x=0.005547799904402126, y=0.012819364228321712, z=0.04950430726754392)",1745570280588054930
"geometry_msgs.msg.Vector3(x=0.06171974134344588, y=0.028744234582762353, z=0.0030625299355397668)","geometry_msgs.msg.Vector3(x=0.005052970812183622, y=0.013771642830845669, z=0.04919785576442243)",1745570280620834479
"geometry_msgs.msg.Vector3(x=0.06233907460071114, y=0.028927404285301182, z=0.004015268855212268)","geometry_msgs.msg.Vector3(x=0.005602611896333327, y=0.01266704218039421, z=0.050010697478935606)",1745570280651941742
"geometry_msgs.msg.Vector3(x=0.06233907460071114, y=0.028927404285301182, z=0.004015268855212268)","geometry_msgs.msg.Vector3(x=0.005602611896333327, y=0.01266704218039421, z=0.050010697478935606)",1745570280687249610
"geometry_msgs.msg.Vector3(x=0.0672129361096224, y=0.028935109063308914, z=0.004038902670492157)","geometry_msgs.msg.Vector3(x=0.005649380236772834, y=0.013517721100128475, z=0.050104737382294096)",1745570280720612429
"geometry_msgs.msg.Vector3(x=0.0672129361096224, y=0.028935109063308914, z=0.004038902670492157)","geometry_msgs.msg.Vector3(x=0.005649380236772834, y=0.013517721100128475, z=0.050104737382294096)",1745570280753977972
"geometry_msgs.msg.Vector3(x=0.07107591856129483, y=0.0289624975111704, z=0.004200278741912125)","geometry_msgs.msg.Vector3(x=0.005750489244674929, y=0.013983246744176501, z=0.050173376780321494)",1745570280789522228
"geometry_msgs.msg.Vector3(x=0.06959525414427276, y=0.02894334863193453, z=0.004074703395404455)","geometry_msgs.msg.Vector3(x=0.005718845037814508, y=0.013943689809835468, z=0.05038428066921228)",1745570280819307064
"geometry_msgs.msg.Vector3(x=0.06959525414427276, y=0.02894334863193453, z=0.004074703395404455)","geometry_msgs.msg.Vector3(x=0.005718845037814508, y=0.013943689809835468, z=0.05038428066921228)",1745570280853399452
"geometry_msgs.msg.Vector3(x=0.06553092377313235, y=0.028887628266359957, z=0.003736519966213791)","geometry_msgs.msg.Vector3(x=0.005559916845253731, y=0.013732317367861189, z=0.050472270644531615)",1745570280903817372
"geometry_msgs.msg.Vector3(x=0.06845580813353422, y=0.02882216073999173, z=0.003359549161134386)","geometry_msgs.msg.Vector3(x=0.005397527389122245, y=0.01480175379636455, z=0.050446289075023014)",1745570280915503895
"geometry_msgs.msg.Vector3(x=0.06580819424304413, y=0.028847098446910996, z=0.003502952714102412)","geometry_msgs.msg.Vector3(x=0.005473857296070851, y=0.014150610660603802, z=0.05059915072923262)",1745570280944849877
"geometry_msgs.msg.Vector3(x=0.06580819424304413, y=0.028847098446910996, z=0.003502952714102412)","geometry_msgs.msg.Vector3(x=0.005473857296070851, y=0.014150610660603802, z=0.05059915072923262)",1745570280982982335
"geometry_msgs.msg.Vector3(x=0.0694088460837049, y=0.028951753442542326, z=0.0041370865576945874)","geometry_msgs.msg.Vector3(x=0.005805312450932695, y=0.013894108237987866, z=0.05076800352892684)",1745570281014423336
"geometry_msgs.msg.Vector3(x=0.06382045969952754, y=0.02891880720500034, z=0.003933620309286817)","geometry_msgs.msg.Vector3(x=0.005705266075610002, y=0.013222403276397787, z=0.05088923231605809)",1745570281046813012
"geometry_msgs.msg.Vector3(x=0.06382045969952754, y=0.02891880720500034, z=0.003933620309286817)","geometry_msgs.msg.Vector3(x=0.005705266075610002, y=0.013222403276397787, z=0.05088923231605809)",1745570281084787036
"geometry_msgs.msg.Vector3(x=0.060422732707488075, y=0.028895919323465004, z=0.0037980730636905293)","geometry_msgs.msg.Vector3(x=0.005644541947753504, y=0.01283884510126631, z=0.050998891016913385)",1745570281114358106
"geometry_msgs.msg.Vector3(x=0.060422732707488075, y=0.028895919323465004, z=0.0037980730636905293)","geometry_msgs.msg.Vector3(x=0.005644541947753504, y=0.01283884510126631, z=0.050998891016913385)",1745570281149027282
"geometry_msgs.msg.Vector3(x=0.07568618192361659, y=0.02886770850757018, z=0.003632411052772871)","geometry_msgs.msg.Vector3(x=0.005565629462932713, y=0.01570381943149282, z=0.05051975596904835)",1745570281185322839
"geometry_msgs.msg.Vector3(x=0.07568618192361659, y=0.02886770850757018, z=0.003632411052772871)","geometry_msgs.msg.Vector3(x=0.005565629462932713, y=0.01570381943149282, z=0.05051975596904835)",1745570281215579949
"geometry_msgs.msg.Vector3(x=0.07623806861322058, y=0.028818181232899483, z=0.00335629527970696)","geometry_msgs.msg.Vector3(x=0.005445544495058716, y=0.016215137205477556, z=0.050544083549180066)",1745570281250324865
"geometry_msgs.msg.Vector3(x=0.07050550740254696, y=0.028870377062801985, z=0.0036589543595133313)","geometry_msgs.msg.Vector3(x=0.005598332267943902, y=0.014801465177113813, z=0.05081059960563986)",1745570281282512558
"geometry_msgs.msg.Vector3(x=0.07050550740254696, y=0.028870377062801985, z=0.0036589543595133313)","geometry_msgs.msg.Vector3(x=0.005598332267943902, y=0.014801465177113813, z=0.05081059960563986)",1745570281312953157
"geometry_msgs.msg.Vector3(x=0.08073054326815107, y=0.028795443739200014, z=0.003224184514967431)","geometry_msgs.msg.Vector3(x=0.00537179518457776, y=0.01716440426611499, z=0.05032026909954705)",1745570281349055477
"geometry_msgs.msg.Vector3(x=0.07728938478971958, y=0.028844495908612967, z=0.0035151798492606867)","geometry_msgs.msg.Vector3(x=0.005537385050685106, y=0.016187497095896654, z=0.05063918622464361)",1745570281390436528
"geometry_msgs.msg.Vector3(x=0.07385785868178929, y=0.028887434572235554, z=0.0037717194653854908)","geometry_msgs.msg.Vector3(x=0.005670633087697015, y=0.015239207743960233, z=0.05084521492996305)",1745570281411082145
"geometry_msgs.msg.Vector3(x=0.07385785868178929, y=0.028887434572235554, z=0.0037717194653854908)","geometry_msgs.msg.Vector3(x=0.005670633087697015, y=0.015239207743960233, z=0.05084521492996305)",1745570281445685249
"geometry_msgs.msg.Vector3(x=0.07636858731807578, y=0.028876449226877116, z=0.003707163692438157)","geometry_msgs.msg.Vector3(x=0.005639563858983071, y=0.015764485467930685, z=0.05076019144510899)",1745570281478348863
"geometry_msgs.msg.Vector3(x=0.06968374005448161, y=0.028887434572235554, z=0.0037717194653854908)","geometry_msgs.msg.Vector3(x=0.005670633087697015, y=0.014521259340063312, z=0.05097043848878228)",1745570281510659704
"geometry_msgs.msg.Vector3(x=0.06968374005448161, y=0.028887434572235554, z=0.0037717194653854908)","geometry_msgs.msg.Vector3(x=0.005670633087697015, y=0.014521259340063312, z=0.05097043848878228)",1745570281548083700
"geometry_msgs.msg.Vector3(x=0.07124701011780712, y=0.028887434572235554, z=0.0037717194653854908)","geometry_msgs.msg.Vector3(x=0.005670633087697015, y=0.014790141790955301, z=0.050923540386882515)",1745570281580842851
"geometry_msgs.msg.Vector3(x=0.06613321147816295, y=0.028917804694059163, z=0.003944419797430888)","geometry_msgs.msg.Vector3(x=0.005741608590007004, y=0.013645099893150518, z=0.05102419348803801)",1745570281611747579
"geometry_msgs.msg.Vector3(x=0.06613321147816295, y=0.028917804694059163, z=0.003944419797430888)","geometry_msgs.msg.Vector3(x=0.005741608590007004, y=0.013645099893150518, z=0.05102419348803801)",1745570281649136470
"geometry_msgs.msg.Vector3(x=0.05897777094089138, y=0.02893103894766419, z=0.004020885057023388)","geometry_msgs.msg.Vector3(x=0.005772068745943122, y=0.012295938394010237, z=0.05120950933689591)",1745570281675688601
"geometry_msgs.msg.Vector3(x=0.06150312401565933, y=0.028938825483985364, z=0.004073289438441382)","geometry_msgs.msg.Vector3(x=0.005804393866536814, y=0.012663845569234023, z=0.05118768723262761)",1745570281710298588
"geometry_msgs.msg.Vector3(x=0.06150312401565933, y=0.028938825483985364, z=0.004073289438441382)","geometry_msgs.msg.Vector3(x=0.005804393866536814, y=0.012663845569234023, z=0.05118768723262761)",1745570281744479711
"geometry_msgs.msg.Vector3(x=0.07054537394199123, y=0.028852344025108945, z=0.003550157100548314)","geometry_msgs.msg.Vector3(x=0.005538690172002307, y=0.014955554075744781, z=0.05074441757640452)",1745570281776559334
"geometry_msgs.msg.Vector3(x=0.0703164737642551, y=0.028813962155199335, z=0.0033174815400673686)","geometry_msgs.msg.Vector3(x=0.0053934722993394255, y=0.015205281614665368, z=0.0504921195745004)",1745570281807949350
"geometry_msgs.msg.Vector3(x=0.0703164737642551, y=0.028813962155199335, z=0.0033174815400673686)","geometry_msgs.msg.Vector3(x=0.0053934722993394255, y=0.015205281614665368, z=0.0504921195745004)",1745570281845238126
"geometry_msgs.msg.Vector3(x=0.07248812638334107, y=0.028849516752495977, z=0.0035219026615457023)","geometry_msgs.msg.Vector3(x=0.0054998170016247955, y=0.01529561717753192, z=0.05051407709966195)",1745570281876033913
"geometry_msgs.msg.Vector3(x=0.06294690523159496, y=0.02890475559689432, z=0.0038450724369410213)","geometry_msgs.msg.Vector3(x=0.00565234818933189, y=0.013185846562985305, z=0.05083360707087692)",1745570281919073584
"geometry_msgs.msg.Vector3(x=0.06294690523159496, y=0.02890475559689432, z=0.0038450724369410213)","geometry_msgs.msg.Vector3(x=0.00565234818933189, y=0.013185846562985305, z=0.05083360707087692)",1745570281940609449
"geometry_msgs.msg.Vector3(x=0.06318636768113156, y=0.028881146754412487, z=0.0037068534116763904)","geometry_msgs.msg.Vector3(x=0.005591583398264485, y=0.013433330604707175, z=0.05084166946855768)",1745570281971174238
"geometry_msgs.msg.Vector3(x=0.07309684707341246, y=0.028908568702013714, z=0.0038618852800920184)","geometry_msgs.msg.Vector3(x=0.005616488301163044, y=0.014849604273692384, z=0.05024236775214557)",1745570282005690872
"geometry_msgs.msg.Vector3(x=0.07309684707341246, y=0.028908568702013714, z=0.0038618852800920184)","geometry_msgs.msg.Vector3(x=0.005616488301163044, y=0.014849604273692384, z=0.05024236775214557)",1745570282040607647
"geometry_msgs.msg.Vector3(x=0.06735512298847462, y=0.028904012971961445, z=0.003836624302333227)","geometry_msgs.msg.Vector3(x=0.0055868484372328005, y=0.013874932983989634, z=0.05029422548999349)",1745570282071593726
"geometry_msgs.msg.Vector3(x=0.06735512298847462, y=0.028904012971961445, z=0.003836624302333227)","geometry_msgs.msg.Vector3(x=0.0055868484372328005, y=0.013874932983989634, z=0.05029422548999349)",1745570282104112261
"geometry_msgs.msg.Vector3(x=0.06735512298847462, y=0.02891959225873304, z=0.003935272384040317)","geometry_msgs.msg.Vector3(x=0.005697772859388785, y=0.013817207580032622, z=0.050729318467214936)",1745570282142128954
"geometry_msgs.msg.Vector3(x=0.077966032552759, y=0.02878450651580426, z=0.00314786903365401)","geometry_msgs.msg.Vector3(x=0.005278963042878024, y=0.016717479563389114, z=0.050011200972853505)",1745570282169343551
"geometry_msgs.msg.Vector3(x=0.077966032552759, y=0.02878450651580426, z=0.00314786903365401)","geometry_msgs.msg.Vector3(x=0.005278963042878024, y=0.016717479563389114, z=0.050011200972853505)",1745570282202663000
"geometry_msgs.msg.Vector3(x=0.07765459829918969, y=0.028796310215781724, z=0.0032130568163836553)","geometry_msgs.msg.Vector3(x=0.005310101322866028, y=0.016570027934896356, z=0.050030483027477105)",1745570282240801488
"geometry_msgs.msg.Vector3(x=0.06858142566410264, y=0.02885473547318609, z=0.0035446069759517127)","geometry_msgs.msg.Vector3(x=0.005453870183493603, y=0.014512545140073453, z=0.050255245641870054)",1745570282270444110
"geometry_msgs.msg.Vector3(x=0.06858142566410264, y=0.02885473547318609, z=0.0035446069759517127)","geometry_msgs.msg.Vector3(x=0.005453870183493603, y=0.014512545140073453, z=0.050255245641870054)",1745570282304513295
"geometry_msgs.msg.Vector3(x=0.07471262059076061, y=0.0288194523150726, z=0.003344206603379022)","geometry_msgs.msg.Vector3(x=0.0053480231209927015, y=0.015840152487520222, z=0.04997144060151803)",1745570282340571463
"geometry_msgs.msg.Vector3(x=0.08428014238287249, y=0.0288705555703101, z=0.003641709420824003)","geometry_msgs.msg.Vector3(x=0.005477883238300215, y=0.017043126987590564, z=0.04964949377950005)",1745570282371118269
"geometry_msgs.msg.Vector3(x=0.06842685418468786, y=0.02890232444290061, z=0.0038502653275945247)","geometry_msgs.msg.Vector3(x=0.005539040501851001, y=0.01396783923255556, z=0.0499016323293586)",1745570282403627497
"geometry_msgs.msg.Vector3(x=0.06842685418468786, y=0.02890232444290061, z=0.0038502653275945247)","geometry_msgs.msg.Vector3(x=0.005539040501851001, y=0.01396783923255556, z=0.0499016323293586)",1745570282433210378
"geometry_msgs.msg.Vector3(x=0.06297346703673029, y=0.028814401604885177, z=0.0033309574464912947)","geometry_msgs.msg.Vector3(x=0.005299096841633563, y=0.013779301849967465, z=0.050031266109182695)",1745570282467477891
"geometry_msgs.msg.Vector3(x=0.06297346703673029, y=0.028814401604885177, z=0.0033309574464912947)","geometry_msgs.msg.Vector3(x=0.005299096841633563, y=0.013779301849967465, z=0.050031266109182695)",1745570282499778493
"geometry_msgs.msg.Vector3(x=0.06190228437106013, y=0.028876894405994353, z=0.003698718322816299)","geometry_msgs.msg.Vector3(x=0.005465428865639981, y=0.013059028046368167, z=0.05006310815901076)",1745570282534654533
"geometry_msgs.msg.Vector3(x=0.07180362550255051, y=0.028828551778988284, z=0.003428711049597194)","geometry_msgs.msg.Vector3(x=0.0053199371596081456, y=0.01512244592963552, z=0.04960646148656351)",1745570282567318628
"geometry_msgs.msg.Vector3(x=0.07180362550255051, y=0.028828551778988284, z=0.003428711049597194)","geometry_msgs.msg.Vector3(x=0.0053199371596081456, y=0.01512244592963552, z=0.04960646148656351)",1745570282597544389
"geometry_msgs.msg.Vector3(x=0.06579893238374479, y=0.02891051020375822, z=0.0039427990562383814)","geometry_msgs.msg.Vector3(x=0.005535661432296082, y=0.01332225378001202, z=0.04967680881131548)",1745570282633526676
"geometry_msgs.msg.Vector3(x=0.06914486955598917, y=0.02891068705139983, z=0.003951850116559291)","geometry_msgs.msg.Vector3(x=0.005533048015953214, y=0.013875909497496517, z=0.0495312861245099)",1745570282665931241
"geometry_msgs.msg.Vector3(x=0.06914486955598917, y=0.02891068705139983, z=0.003951850116559291)","geometry_msgs.msg.Vector3(x=0.005533048015953214, y=0.013875909497496517, z=0.0495312861245099)",1745570282697273559
"geometry_msgs.msg.Vector3(x=0.0701676233879299, y=0.028813878524502276, z=0.0033853416564595135)","geometry_msgs.msg.Vector3(x=0.005257084208601162, y=0.01484283767851707, z=0.04935757382307588)",1745570282743922992
"geometry_msgs.msg.Vector3(x=0.0701676233879299, y=0.028813878524502276, z=0.0033853416564595135)","geometry_msgs.msg.Vector3(x=0.005257084208601162, y=0.01484283767851707, z=0.04935757382307588)",1745570282767782138
