_layout,_data,timestamp
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [259.71051025390625, -5.9413299560546875, 0.27113433751940175, 720.7105102539062, 137.0586700439453])",1745570279897235026
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [258.5, -13.0, 0.2650920556760059, 719.5, 130.0])",1745570279920268824
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [259.31756591796875, -5.678131103515625, 0.25846137839179706, 720.3175659179688, 137.32186889648438])",1745570279956232416
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [259.31756591796875, -5.678131103515625, 0.25846137839179706, 720.3175659179688, 137.32186889648438])",1745570279990457541
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [258.8499755859375, -7.1629180908203125, 0.26572731256566107, 719.8499755859375, 135.8370819091797])",1745570280023391505
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [258.8499755859375, -7.1629180908203125, 0.26572731256566107, 719.8499755859375, 135.8370819091797])",1745570280058468266
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [256.5927734375, -6.7989654541015625, 0.23992919216430275, 717.5927734375, 136.20103454589844])",1745570280090591049
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [261.09039306640625, -12.01153564453125, 0.25549735651937433, 722.0903930664062, 130.98846435546875])",1745570280123577060
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [261.09039306640625, -12.01153564453125, 0.25549735651937433, 722.0903930664062, 130.98846435546875])",1745570280157634664
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [258.0, -13.0, 0.26319572953497916, 719.0, 130.0])",1745570280190247163
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [260.5, -15.5, 0.23710963681141084, 721.5, 127.5])",1745570280222010191
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [260.0, -20.0, 0.2152595193926854, 721.0, 123.0])",1745570280256690387
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [260.0, -20.0, 0.2152595193926854, 721.0, 123.0])",1745570280290262874
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [261.73974609375, -13.452056884765625, 0.21904000340537344, 722.73974609375, 129.54794311523438])",1745570280321477946
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [261.73974609375, -13.452056884765625, 0.21904000340537344, 722.73974609375, 129.54794311523438])",1745570280354128446
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [263.5028076171875, -13.330062866210938, 0.226209199441599, 724.5028076171875, 129.66993713378906])",1745570280387433367
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [262.77471923828125, -12.9278564453125, 0.30158335494175714, 723.7747192382812, 130.0721435546875])",1745570280422798141
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [264.39434814453125, -12.288009643554688, 0.25780775138232137, 725.3943481445312, 130.7119903564453])",1745570280454318118
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [264.39434814453125, -12.288009643554688, 0.25780775138232137, 725.3943481445312, 130.7119903564453])",1745570280486975501
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [266.4638671875, -11.969879150390625, 0.2513984327773626, 727.4638671875, 131.03012084960938])",1745570280522549672
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [266.4638671875, -11.969879150390625, 0.2513984327773626, 727.4638671875, 131.03012084960938])",1745570280551971235
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [267.88800048828125, -9.452072143554688, 0.2559289460184544, 728.8880004882812, 133.5479278564453])",1745570280585787463
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [265.89923095703125, -16.43773651123047, 0.2468789653737835, 726.8992309570312, 126.56226348876953])",1745570280618068568
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [271.81134033203125, -10.188674926757812, 0.24935629840284457, 732.8113403320312, 132.8113250732422])",1745570280649435011
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [271.81134033203125, -10.188674926757812, 0.24935629840284457, 732.8113403320312, 132.8113250732422])",1745570280685053205
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [273.85400390625, -10.282943725585938, 0.2688517444384896, 734.85400390625, 132.71705627441406])",1745570280717894788
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [273.85400390625, -10.282943725585938, 0.2688517444384896, 734.85400390625, 132.71705627441406])",1745570280751528107
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [275.259521484375, -9.25250244140625, 0.2843036742451793, 736.259521484375, 133.74749755859375])",1745570280786907869
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [276.869384765625, -10.412155151367188, 0.278381016577091, 737.869384765625, 132.5878448486328])",1745570280817012225
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [276.869384765625, -10.412155151367188, 0.278381016577091, 737.869384765625, 132.5878448486328])",1745570280851079999
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [277.0, -13.0, 0.2621236950925294, 738.0, 130.0])",1745570280901828179
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [278.0404052734375, -16.03290557861328, 0.2738232325341369, 739.0404052734375, 126.96709442138672])",1745570280913217041
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [278.5, -15.0, 0.2632327769721765, 739.5, 128.0])",1745570280943843454
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [278.5, -15.0, 0.2632327769721765, 739.5, 128.0])",1745570280981247573
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.13177490234375, -10.366607666015625, 0.2776353843348196, 741.1317749023438, 132.63339233398438])",1745570281012896579
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.98138427734375, -11.9051513671875, 0.25528183879811017, 740.9813842773438, 131.0948486328125])",1745570281045798725
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.98138427734375, -11.9051513671875, 0.25528183879811017, 740.9813842773438, 131.0948486328125])",1745570281081988256
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.22796630859375, -12.979644775390625, 0.2416909308299523, 741.2279663085938, 130.02035522460938])",1745570281112469039
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.22796630859375, -12.979644775390625, 0.2416909308299523, 741.2279663085938, 130.02035522460938])",1745570281147162591
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.25860595703125, -14.258621215820312, 0.30274472769446636, 741.2586059570312, 128.7413787841797])",1745570281182139317
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.25860595703125, -14.258621215820312, 0.30274472769446636, 741.2586059570312, 128.7413787841797])",1745570281213035218
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.0, -16.5, 0.3049522744528823, 742.0, 126.5])",1745570281247055524
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.4359130859375, -14.221908569335938, 0.28202202961018785, 742.4359130859375, 128.77809143066406])",1745570281279657604
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.4359130859375, -14.221908569335938, 0.28202202961018785, 742.4359130859375, 128.77809143066406])",1745570281311070522
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [280.38372802734375, -17.43022918701172, 0.3229221730726043, 741.3837280273438, 125.56977081298828])",1745570281346974465
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.92047119140625, -15.404693603515625, 0.30915753915887834, 742.9204711914062, 127.59530639648438])",1745570281388517115
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -13.5, 0.29543143472715716, 743.5, 129.5])",1745570281408786636
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -13.5, 0.29543143472715716, 743.5, 129.5])",1745570281443005088
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -14.0, 0.3054743492723031, 743.5, 129.0])",1745570281475233727
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -13.5, 0.27873496021792643, 743.5, 129.5])",1745570281507995252
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -13.5, 0.27873496021792643, 743.5, 129.5])",1745570281544578281
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [282.5, -13.5, 0.2849880404712285, 743.5, 129.5])",1745570281578061502
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.7943115234375, -12.068435668945312, 0.2645328459126518, 742.7943115234375, 130.9315643310547])",1745570281609041760
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.7943115234375, -12.068435668945312, 0.2645328459126518, 742.7943115234375, 130.9315643310547])",1745570281647240250
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.430419921875, -11.430435180664062, 0.2359110837635655, 742.430419921875, 131.56956481933594])",1745570281672623307
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.8453369140625, -11.082473754882812, 0.2460124960626373, 742.8453369140625, 131.9175262451172])",1745570281707253321
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.8453369140625, -11.082473754882812, 0.2460124960626373, 742.8453369140625, 131.9175262451172])",1745570281740859971
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [281.0, -15.0, 0.2821814957679649, 742.0, 128.0])",1745570281773880596
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.0, -16.5, 0.2812658950570204, 740.0, 126.5])",1745570281806071334
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.0, -16.5, 0.2812658950570204, 740.0, 126.5])",1745570281840971689
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.5, -15.0, 0.28995250553336427, 740.5, 128.0])",1745570281873416868
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.36883544921875, -12.5, 0.25178762092637985, 740.3688354492188, 130.5])",1745570281919061632
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.36883544921875, -12.5, 0.25178762092637985, 740.3688354492188, 130.5])",1745570281937809135
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [279.68603515625, -13.604644775390625, 0.25274547072452624, 740.68603515625, 129.39535522460938])",1745570281970200946
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [276.81396484375, -12.020355224609375, 0.29238738829364985, 737.81396484375, 130.97964477539062])",1745570282004652791
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [276.81396484375, -12.020355224609375, 0.29238738829364985, 737.81396484375, 130.97964477539062])",1745570282039608127
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [275.790771484375, -12.071517944335938, 0.2694204919538985, 736.790771484375, 130.92848205566406])",1745570282070587914
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [275.790771484375, -12.071517944335938, 0.2694204919538985, 736.790771484375, 130.92848205566406])",1745570282103088406
