_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.17827234736378172, y=-0.0042980768561698525, z=0.27476751389420073)","geometry_msgs.msg.Vector3(x=0.010539498584239764, y=0.09832425555979094, z=0.0251681468020506)",1745575478581461302
"geometry_msgs.msg.Vector3(x=0.1773023087046515, y=-0.004309276564716309, z=0.2693608177886805)","geometry_msgs.msg.Vector3(x=0.010380148550254459, y=0.09757287998837974, z=0.02496698297752337)",1745575478614328111
"geometry_msgs.msg.Vector3(x=0.17798411823918722, y=-0.005552932763554407, z=0.27142774672207326)","geometry_msgs.msg.Vector3(x=0.01130624565875987, y=0.09822284143602797, z=0.025229349292298597)",1745575478655609166
"geometry_msgs.msg.Vector3(x=0.175991155654651, y=-0.008388867019275112, z=0.2627193947059894)","geometry_msgs.msg.Vector3(x=0.012810639372634746, y=0.0969589568203336, z=0.025089641351783303)",1745575478690161782
"geometry_msgs.msg.Vector3(x=0.17172608006011775, y=-0.009499746966547042, z=0.27010958129557217)","geometry_msgs.msg.Vector3(x=0.012812401555496213, y=0.09384219997247581, z=0.02432948720060466)",1745575478722001229
"geometry_msgs.msg.Vector3(x=0.17287291590429096, y=-0.00964891526654155, z=0.26764161376391216)","geometry_msgs.msg.Vector3(x=0.013098222273399636, y=0.09471022259227435, z=0.024573283612496336)",1745575478749866721
"geometry_msgs.msg.Vector3(x=0.17054852882362767, y=-0.01076849325601801, z=0.27142774672207326)","geometry_msgs.msg.Vector3(x=0.013443433135122475, y=0.09308886222946323, z=0.024216436917278386)",1745575478780310402
"geometry_msgs.msg.Vector3(x=0.16900181454501778, y=-0.011072083743232682, z=0.26662744273871797)","geometry_msgs.msg.Vector3(x=0.013393732410832922, y=0.09198714334987158, z=0.02394209508744666)",1745575478811660361
"geometry_msgs.msg.Vector3(x=0.16672101597149852, y=-0.011658486939958565, z=0.2663059999184628)","geometry_msgs.msg.Vector3(x=0.01342070846203078, y=0.0903998664329243, z=0.023557892979380584)",1745575478854774885
"geometry_msgs.msg.Vector3(x=0.15966420311878182, y=-0.014486127699383119, z=0.2808944612388322)","geometry_msgs.msg.Vector3(x=0.01421366618477981, y=0.08572716786166973, z=0.02250684089685519)",1745575478877861525
"geometry_msgs.msg.Vector3(x=0.15892806141070104, y=-0.013119037531565, z=0.2783688541235345)","geometry_msgs.msg.Vector3(x=0.01325415943084421, y=0.08513248557503782, z=0.02225421545011484)",1745575478920811412
"geometry_msgs.msg.Vector3(x=0.15684381917374932, y=-0.009541295994819319, z=0.28564596788123175)","geometry_msgs.msg.Vector3(x=0.010773749949532733, y=0.083514379251137, z=0.021581444712752466)",1745575478954692205
"geometry_msgs.msg.Vector3(x=0.15224723184531055, y=-0.009144496020524997, z=0.2986010224762239)","geometry_msgs.msg.Vector3(x=0.010009438726553107, y=0.08052121320470378, z=0.020765573715991935)",1745575478979232254
"geometry_msgs.msg.Vector3(x=0.14766897167310106, y=-0.009599766132891008, z=0.2928053018875355)","geometry_msgs.msg.Vector3(x=0.00980491674894139, y=0.07766526161661469, z=0.02004592262338515)",1745575479012373119
"geometry_msgs.msg.Vector3(x=0.14493361023188972, y=-0.009219396262458322, z=0.2972849045727124)","geometry_msgs.msg.Vector3(x=0.009309307889948272, y=0.07595950404597322, z=0.01957424099228658)",1745575479053102174
"geometry_msgs.msg.Vector3(x=0.13988513371964625, y=-0.009175078710540473, z=0.2986560669776894)","geometry_msgs.msg.Vector3(x=0.008820961844065696, y=0.07290265524066057, z=0.018773766562111372)",1745575479079106158
"geometry_msgs.msg.Vector3(x=0.1366119409718988, y=-0.00923661228728098, z=0.31433264798310034)","geometry_msgs.msg.Vector3(x=0.008577715876800795, y=0.07096110407171573, z=0.01827284848720283)",1745575479120135438
"geometry_msgs.msg.Vector3(x=0.13400878390062118, y=-0.006983483897400914, z=0.3001485601695769)","geometry_msgs.msg.Vector3(x=0.007058466933118578, y=0.06935287690087841, z=0.01771022230678362)",1745575479152340113
"geometry_msgs.msg.Vector3(x=0.13104576416449254, y=-0.006904928238416711, z=0.30722053227580637)","geometry_msgs.msg.Vector3(x=0.006789668913245463, y=0.06763554802040686, z=0.017261140538111393)",1745575479175979443
"geometry_msgs.msg.Vector3(x=0.1285300446573187, y=-0.0063273582457621415, z=0.3038487756217113)","geometry_msgs.msg.Vector3(x=0.006277604645427438, y=0.06617641563721424, z=0.016847780159665007)",1745575479208047673
"geometry_msgs.msg.Vector3(x=0.12698095131400333, y=-0.004694685047744387, z=0.29489642503346614)","geometry_msgs.msg.Vector3(x=0.0052408094343784455, y=0.06524807745801164, z=0.016505094239544164)",1745575479241642547
"geometry_msgs.msg.Vector3(x=0.12450336547953772, y=-0.003142601951346069, z=0.3000930652826481)","geometry_msgs.msg.Vector3(x=0.004201474555973954, y=0.06380989481885471, z=0.01603774401592867)",1745575479273949471
"geometry_msgs.msg.Vector3(x=0.12204347894760749, y=-0.0009636122309095183, z=0.29446550648047076)","geometry_msgs.msg.Vector3(x=0.002828684880123494, y=0.06238300009938354, z=0.01553577129652279)",1745575479309046606
"geometry_msgs.msg.Vector3(x=0.12195022354141542, y=0.0031681306170872263, z=0.29761304584606796)","geometry_msgs.msg.Vector3(x=0.000527752306212424, y=0.062237084743033515, z=0.015242267635370448)",1745575479339615784
"geometry_msgs.msg.Vector3(x=0.1181474348601358, y=0.006166378416125341, z=0.3060706744010878)","geometry_msgs.msg.Vector3(x=-0.0013235100767112296, y=0.06008735748268968, z=0.014510324542123695)",1745575479372268030
"geometry_msgs.msg.Vector3(x=0.11582863878700017, y=0.006442041913461933, z=0.3123660146842564)","geometry_msgs.msg.Vector3(x=-0.001589745500961996, y=0.058820583535593975, z=0.014171445608575532)",1745575479404688617
"geometry_msgs.msg.Vector3(x=0.11208900183589014, y=0.007097746529841051, z=0.3127220552483715)","geometry_msgs.msg.Vector3(x=-0.002123018418934525, y=0.05679074270649851, z=0.013616480222100382)",1745575479447517112
