_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.13795222390225262, y=0.18260126861373444, z=-0.002526560630115685)","geometry_msgs.msg.Vector3(x=0.0125840734010253, y=0.005269749292119882, z=0.04916212777989547)",1745575478581600496
"geometry_msgs.msg.Vector3(x=0.13525130931884405, y=0.1815966297767855, z=-0.002529143027021005)","geometry_msgs.msg.Vector3(x=0.012483491488761685, y=0.005190074275127229, z=0.04878643999418987)",1745575478614314502
"geometry_msgs.msg.Vector3(x=0.1362148788559237, y=0.18232356631746258, z=-0.0031549066211616827)","geometry_msgs.msg.Vector3(x=0.012614674646149298, y=0.005653122829379935, z=0.049111420718013984)",1745575478655717307
"geometry_msgs.msg.Vector3(x=0.1317123667192531, y=0.18030657396715774, z=-0.004570778129914306)","geometry_msgs.msg.Vector3(x=0.012544820675891652, y=0.006405319686317373, z=0.0484794784101668)",1745575478690240705
"geometry_msgs.msg.Vector3(x=0.13536055711360054, y=0.17591075185862176, z=-0.005114815791282591)","geometry_msgs.msg.Vector3(x=0.01216474360030233, y=0.006406200777748106, z=0.046921099986237905)",1745575478722163874
"geometry_msgs.msg.Vector3(x=0.1341150131053278, y=0.17709952068564033, z=-0.00519305688745822)","geometry_msgs.msg.Vector3(x=0.012286641806248168, y=0.006549111136699818, z=0.047355111296137176)",1745575478749854043
"geometry_msgs.msg.Vector3(x=0.13595407104485804, y=0.17471375597339955, z=-0.005747493181768181)","geometry_msgs.msg.Vector3(x=0.012108218458639193, y=0.006721716567561238, z=0.04654443111473162)",1745575478780301532
"geometry_msgs.msg.Vector3(x=0.13354166753227542, y=0.1731198549000586, z=-0.005895173297928041)","geometry_msgs.msg.Vector3(x=0.01197104754372333, y=0.006696866205416461, z=0.04599357167493579)",1745575478811826366
"geometry_msgs.msg.Vector3(x=0.13335481702799062, y=0.170772973563952, z=-0.006182611864669991)","geometry_msgs.msg.Vector3(x=0.011778946489690292, y=0.00671035423101539, z=0.04519993321646215)",1745575478854875866
"geometry_msgs.msg.Vector3(x=0.14051076284545008, y=0.16353537975304092, z=-0.007580666463144387)","geometry_msgs.msg.Vector3(x=0.011253420448427595, y=0.007106833092389905, z=0.042863583930834864)",1745575478877964666
"geometry_msgs.msg.Vector3(x=0.13932155663434023, y=0.16275578646812078, z=-0.006893331997534223)","geometry_msgs.msg.Vector3(x=0.01112710772505742, y=0.006627079715422105, z=0.04256624278751891)",1745575478920932825
"geometry_msgs.msg.Vector3(x=0.14314915713372312, y=0.16055582766434273, z=-0.005094369668100947)","geometry_msgs.msg.Vector3(x=0.010790722356376233, y=0.005386874974766366, z=0.0417571896255685)",1745575478954773576
"geometry_msgs.msg.Vector3(x=0.14964751770569892, y=0.15581891052446117, z=-0.004883731616002377)","geometry_msgs.msg.Vector3(x=0.010382786857995967, y=0.005004719363276553, z=0.04026060660235189)",1745575478979497117
"geometry_msgs.msg.Vector3(x=0.146724407027608, y=0.1511168703643233, z=-0.005100571905796282)","geometry_msgs.msg.Vector3(x=0.010022961311692575, y=0.004902458374470695, z=0.038832630808307345)",1745575479012349425
"geometry_msgs.msg.Vector3(x=0.14898124436851023, y=0.14830037968256302, z=-0.00490331174611346)","geometry_msgs.msg.Vector3(x=0.00978712049614329, y=0.004654653944974136, z=0.03797975202298661)",1745575479053262540
"geometry_msgs.msg.Vector3(x=0.14966297059886496, y=0.1431142215683294, z=-0.004869145853701907)","geometry_msgs.msg.Vector3(x=0.009386883281055686, y=0.004410480922032848, z=0.036451327620330286)",1745575479079079719
"geometry_msgs.msg.Vector3(x=0.15749305698722102, y=0.1397548709116977, z=-0.004892398870948533)","geometry_msgs.msg.Vector3(x=0.009136424243601416, y=0.004288857938400397, z=0.035480552035857864)",1745575479120505490
"geometry_msgs.msg.Vector3(x=0.15050754508205344, y=0.13705494213738798, z=-0.0037573952833022117)","geometry_msgs.msg.Vector3(x=0.00885511115339181, y=0.003529233466559289, z=0.034676438450439204)",1745575479152464275
"geometry_msgs.msg.Vector3(x=0.15404088783167016, y=0.1340146803370477, z=-0.0037113812272800265)","geometry_msgs.msg.Vector3(x=0.008630570269055697, y=0.0033948344566227316, z=0.03381777401020343)",1745575479176235620
"geometry_msgs.msg.Vector3(x=0.15237716004590712, y=0.13142786284478108, z=-0.003416395825276046)","geometry_msgs.msg.Vector3(x=0.008423890079832503, y=0.003138802322713719, z=0.03308820781860712)",1745575479208185472
"geometry_msgs.msg.Vector3(x=0.1479762240672467, y=0.12981982752320492, z=-0.002594918937465356)","geometry_msgs.msg.Vector3(x=0.008252547119772082, y=0.0026204047171892227, z=0.03262403872900582)",1745575479241763697
"geometry_msgs.msg.Vector3(x=0.15064235425179312, y=0.12726185745027746, z=-0.0018118671359119644)","geometry_msgs.msg.Vector3(x=0.008018872007964336, y=0.002100737277986977, z=0.031904947409427356)",1745575479274104015
"geometry_msgs.msg.Vector3(x=0.1479252313420355, y=0.1247156316106094, z=-0.0007148426849026009)","geometry_msgs.msg.Vector3(x=0.007767885648261395, y=0.001414342440061747, z=0.03119150004969177)",1745575479309142459
"geometry_msgs.msg.Vector3(x=0.14969469249584522, y=0.12457189357469914, z=0.0013554312940130563)","geometry_msgs.msg.Vector3(x=0.007621133817685224, y=0.000263876153106212, z=0.031118542371516757)",1745575479339775702
"geometry_msgs.msg.Vector3(x=0.15405046942938141, y=0.12064321068138108, z=0.002865534339930815)","geometry_msgs.msg.Vector3(x=0.007255162271061847, y=-0.0006617550383556148, z=0.03004367874134484)",1745575479372239421
"geometry_msgs.msg.Vector3(x=0.15720203420824486, y=0.11826612743167517, z=0.0030084492726023333)","geometry_msgs.msg.Vector3(x=0.007085722804287766, y=-0.000794872750480998, z=0.029410291767796987)",1745575479404859200
"geometry_msgs.msg.Vector3(x=0.1573954683488116, y=0.1144310364340914, z=0.0033446260615890198)","geometry_msgs.msg.Vector3(x=0.006808240111050191, y=-0.0010615092094672625, z=0.028395371353249255)",1745575479447614867
"geometry_msgs.msg.Vector3(x=0.1585165730774756, y=0.11178094991644823, z=0.002014645880652184)","geometry_msgs.msg.Vector3(x=0.006716561456275025, y=-0.00039781768583768955, z=0.027714632113359082)",1745575479481291146
"geometry_msgs.msg.Vector3(x=0.17190112895838033, y=0.10872847157746755, z=0.0014089420033724742)","geometry_msgs.msg.Vector3(x=0.006553594186709514, y=-0.00013263434547427838, z=0.026924772131279435)",1745575479503563873
"geometry_msgs.msg.Vector3(x=0.15983175420891013, y=0.10239073002492219, z=-0.0010305844364582686)","geometry_msgs.msg.Vector3(x=0.006293315871773262, y=0.0010673186470452271, z=0.02530653577168943)",1745575479547120745
"geometry_msgs.msg.Vector3(x=0.16095235195926122, y=0.09908461327653756, z=-0.003066111691827284)","geometry_msgs.msg.Vector3(x=0.006207649675850846, y=0.00211660763618538, z=0.02447327579339351)",1745575479570959794
"geometry_msgs.msg.Vector3(x=0.16761870493249437, y=0.09341831868598278, z=-0.0037228512979765645)","geometry_msgs.msg.Vector3(x=0.005883955268090575, y=0.002373074682319946, z=0.02302858412777382)",1745575479605097150
"geometry_msgs.msg.Vector3(x=0.17007806285115812, y=0.08869574975423822, z=-0.004608422987598836)","geometry_msgs.msg.Vector3(x=0.005638028452470832, y=0.0027788796999566093, z=0.021834054785373345)",1745575479637750738
