_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.21370214957860179, y=-0.40972945075922257, z=0.04488677020505093)","geometry_msgs.msg.Vector3(x=-0.03665019325846262, y=-0.008797771726951264, z=-0.133996830918181)",1745575578174947131
"geometry_msgs.msg.Vector3(x=0.1941857607968161, y=-0.4100962371913677, z=0.0452051084000133)","geometry_msgs.msg.Vector3(x=-0.036424564256364284, y=-0.009146967986728894, z=-0.1340426049413234)",1745575578198205552
"geometry_msgs.msg.Vector3(x=0.21270420366157572, y=-0.4102356593727124, z=0.04484313875736211)","geometry_msgs.msg.Vector3(x=-0.03661904440464894, y=-0.00880757058961338, z=-0.13392023999078792)",1745575578232049478
"geometry_msgs.msg.Vector3(x=0.21270420366157572, y=-0.4102356593727124, z=0.04484313875736211)","geometry_msgs.msg.Vector3(x=-0.03661904440464894, y=-0.00880757058961338, z=-0.13392023999078792)",1745575578246580675
"geometry_msgs.msg.Vector3(x=0.19831074538589302, y=-0.4102742105299152, z=0.04495676131237143)","geometry_msgs.msg.Vector3(x=-0.03654904059482078, y=-0.00892236143097351, z=-0.1339483627485391)",1745575578283657027
"geometry_msgs.msg.Vector3(x=0.21311895299428374, y=-0.40907593911320045, z=0.04528828637377077)","geometry_msgs.msg.Vector3(x=-0.0364869402596991, y=-0.009126563934731522, z=-0.13419429192920035)",1745575578315697821
"geometry_msgs.msg.Vector3(x=0.2215699409087009, y=-0.40914707881226814, z=0.045512933291370926)","geometry_msgs.msg.Vector3(x=-0.036346898389415905, y=-0.00935576636274361, z=-0.13424961130153784)",1745575578341791101
"geometry_msgs.msg.Vector3(x=0.22007574070707275, y=-0.41005160420379366, z=0.045904737600341874)","geometry_msgs.msg.Vector3(x=-0.03601857292650253, y=-0.009831104188097581, z=-0.13424542270643583)",1745575578376374638
"geometry_msgs.msg.Vector3(x=0.21393470712129956, y=-0.40962374101716675, z=0.04535977906102121)","geometry_msgs.msg.Vector3(x=-0.036385786187788045, y=-0.00925148517208358, z=-0.1341465349952118)",1745575578407474939
"geometry_msgs.msg.Vector3(x=0.21188070429128336, y=-0.40911180808516956, z=0.04540060960077938)","geometry_msgs.msg.Vector3(x=-0.03641695179396131, y=-0.009241146110173445, z=-0.13422201240508072)",1745575578447588080
"geometry_msgs.msg.Vector3(x=0.20847123255498617, y=-0.40856152533202666, z=0.045329170716440145)","geometry_msgs.msg.Vector3(x=-0.03651780722975013, y=-0.00911634188693809, z=-0.13426908482860633)",1745575578474034536
"geometry_msgs.msg.Vector3(x=0.2147609255618738, y=-0.40842983817954853, z=0.04568238126794612)","geometry_msgs.msg.Vector3(x=-0.03632204992014586, y=-0.00945495676950894, z=-0.1343857529829149)",1745575578514879670
