_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=-0.3978248726587786, y=0.0881835098669146, z=0.4039067752329478)","geometry_msgs.msg.Vector3(x=-0.01830412107191478, y=-0.26800848878136924, z=-0.07281767247865764)",1745575578141420054
"geometry_msgs.msg.Vector3(x=-0.3971217842783114, y=0.0875745288145941, z=0.4324176755382232)","geometry_msgs.msg.Vector3(x=-0.01759554345390253, y=-0.267993661836362, z=-0.07330038651692523)",1745575578174931853
"geometry_msgs.msg.Vector3(x=-0.39756618708717834, y=0.08822474294464475, z=0.3932675209026769)","geometry_msgs.msg.Vector3(x=-0.018293935973457787, y=-0.2680852098826468, z=-0.07284912851272857)",1745575578197949221
"geometry_msgs.msg.Vector3(x=-0.39763870809751317, y=0.08748913485044528, z=0.4304138174397717)","geometry_msgs.msg.Vector3(x=-0.01761514117922676, y=-0.26784047998157584, z=-0.07323808880929789)",1745575578231986922
"geometry_msgs.msg.Vector3(x=-0.39763870809751317, y=0.08748913485044528, z=0.4304138174397717)","geometry_msgs.msg.Vector3(x=-0.01761514117922676, y=-0.26784047998157584, z=-0.07323808880929789)",1745575578246426384
"geometry_msgs.msg.Vector3(x=-0.3977013405652968, y=0.08772058018905361, z=0.4015891002044435)","geometry_msgs.msg.Vector3(x=-0.01784472286194702, y=-0.2678967254970782, z=-0.07309808118964156)",1745575578283565832
"geometry_msgs.msg.Vector3(x=-0.396524431663864, y=0.08838735633195959, z=0.43115002551077186)","geometry_msgs.msg.Vector3(x=-0.018253127869463044, y=-0.2683885838584007, z=-0.0729738805193982)",1745575578315616325
"geometry_msgs.msg.Vector3(x=-0.39664374576630906, y=0.0888450526793769, z=0.44797647486671033)","geometry_msgs.msg.Vector3(x=-0.01871153272548722, y=-0.2684992226030757, z=-0.07269379677883181)",1745575578341675570
"geometry_msgs.msg.Vector3(x=-0.3976612151170768, y=0.0896483608250936, z=0.4448243069358261)","geometry_msgs.msg.Vector3(x=-0.019662208376195162, y=-0.26849084541287166, z=-0.07203714585300507)",1745575578375939171
"geometry_msgs.msg.Vector3(x=-0.39710703056856766, y=0.08853641095077514, z=0.4327356954431151)","geometry_msgs.msg.Vector3(x=-0.01850297034416716, y=-0.2682930699904236, z=-0.07277157237557609)",1745575578407251273
"geometry_msgs.msg.Vector3(x=-0.39658437666804686, y=0.08861620209392108, z=0.42863577506497186)","geometry_msgs.msg.Vector3(x=-0.01848229222034689, y=-0.26844402481016144, z=-0.07283390358792262)",1745575578447465739
"geometry_msgs.msg.Vector3(x=-0.39599939964499264, y=0.08846727299909528, z=0.421862588590582)","geometry_msgs.msg.Vector3(x=-0.01823268377387618, y=-0.26853816965721267, z=-0.07303561445950026)",1745575578473888100
"geometry_msgs.msg.Vector3(x=-0.39593505300701837, y=0.08918543954068349, z=0.4343324911740114)","geometry_msgs.msg.Vector3(x=-0.01890991353901788, y=-0.2687715059658298, z=-0.07264409984029171)",1745575578514750374
"geometry_msgs.msg.Vector3(x=-0.3948566747841435, y=0.08816769947099655, z=0.4092849317777537)","geometry_msgs.msg.Vector3(x=-0.01773649586143204, y=-0.26871214794806264, z=-0.0734323917534964)",1745575578547322564
"geometry_msgs.msg.Vector3(x=-0.3949650626232554, y=0.08768054877792215, z=0.43231176761866896)","geometry_msgs.msg.Vector3(x=-0.017288692795201878, y=-0.26853605952027904, z=-0.07368432480338957)",1745575578572389949
"geometry_msgs.msg.Vector3(x=-0.3949650626232554, y=0.08768054877792215, z=0.43231176761866896)","geometry_msgs.msg.Vector3(x=-0.017288692795201878, y=-0.26853605952027904, z=-0.07368432480338957)",1745575578604967113
"geometry_msgs.msg.Vector3(x=-0.39422937117661, y=0.08802748858867077, z=0.45267053833994964)","geometry_msgs.msg.Vector3(x=-0.017487298426734427, y=-0.26881116427762264, z=-0.07363537233557675)",1745575578636190057
"geometry_msgs.msg.Vector3(x=-0.39494117944512214, y=0.08862433038137134, z=0.4377767783794074)","geometry_msgs.msg.Vector3(x=-0.018191717153967425, y=-0.2688331534975185, z=-0.07315780173175472)",1745575578669419489
"geometry_msgs.msg.Vector3(x=-0.39449569162472686, y=0.08798747673720299, z=0.4390818588289359)","geometry_msgs.msg.Vector3(x=-0.01749717008294513, y=-0.26873858665856826, z=-0.07360545237259461)",1745575578701634567
"geometry_msgs.msg.Vector3(x=-0.39369475511439406, y=0.08810681395062593, z=0.4417144638660746)","geometry_msgs.msg.Vector3(x=-0.017467536909953868, y=-0.2689552798571096, z=-0.07369489346475902)",1745575578745466465
"geometry_msgs.msg.Vector3(x=-0.39467494733524616, y=0.08866301704603334, z=0.4315717902728642)","geometry_msgs.msg.Vector3(x=-0.01818145940066052, y=-0.2689060291603872, z=-0.07318808227659203)",1745575578768694438
"geometry_msgs.msg.Vector3(x=-0.39425899588519114, y=0.0880230541914773, z=0.42095459759123166)","geometry_msgs.msg.Vector3(x=-0.017488395611938122, y=-0.26880311697878734, z=-0.07363205304480776)",1745575578810372859
"geometry_msgs.msg.Vector3(x=-0.39425899588519114, y=0.0880230541914773, z=0.42095459759123166)","geometry_msgs.msg.Vector3(x=-0.017488395611938122, y=-0.26880311697878734, z=-0.07363205304480776)",1745575578835964180
"geometry_msgs.msg.Vector3(x=-0.39478634734018014, y=0.08909291684586769, z=0.42045174613965175)","geometry_msgs.msg.Vector3(x=-0.018617273649961727, y=-0.2690114477727784, z=-0.07292187532882383)",1745575578877661766
"geometry_msgs.msg.Vector3(x=-0.3942164675133668, y=0.08889570032096879, z=0.43167735393651485)","geometry_msgs.msg.Vector3(x=-0.018325804667055096, y=-0.26908126171936403, z=-0.0731446287659771)",1745575578905140369
"geometry_msgs.msg.Vector3(x=-0.3937550538629114, y=0.0893309066597495, z=0.40899855591608003)","geometry_msgs.msg.Vector3(x=-0.018669825623656464, y=-0.2693171617980971, z=-0.0729831495396035)",1745575578936219172
"geometry_msgs.msg.Vector3(x=-0.3937550538629114, y=0.0893309066597495, z=0.40899855591608003)","geometry_msgs.msg.Vector3(x=-0.018669825623656464, y=-0.2693171617980971, z=-0.0729831495396035)",1745575578969726693
"geometry_msgs.msg.Vector3(x=-0.3947337323779091, y=0.08998335077810175, z=0.4040932594161867)","geometry_msgs.msg.Vector3(x=-0.01947381369036756, y=-0.26929090485712276, z=-0.0724217088334017)",1745575579001728242
"geometry_msgs.msg.Vector3(x=-0.39526573714776586, y=0.08881164082584261, z=0.4055908990628968)","geometry_msgs.msg.Vector3(x=-0.018430479893932112, y=-0.2688152921114975, z=-0.07298786186673933)",1745575579042081583
"geometry_msgs.msg.Vector3(x=-0.39526573714776586, y=0.08881164082584261, z=0.4055908990628968)","geometry_msgs.msg.Vector3(x=-0.018430479893932112, y=-0.2688152921114975, z=-0.07298786186673933)",1745575579067504208
"geometry_msgs.msg.Vector3(x=-0.3949150228624187, y=0.08862814576957016, z=0.382118492024644)","geometry_msgs.msg.Vector3(x=-0.01819070850331973, y=-0.26884033682700514, z=-0.07316078478764106)",1745575579102987285
"geometry_msgs.msg.Vector3(x=-0.3953968509613376, y=0.08714506104449342, z=0.42196370418880536)","geometry_msgs.msg.Vector3(x=-0.016858593707748733, y=-0.26826874521816607, z=-0.07389500709034891)",1745575579134768652
"geometry_msgs.msg.Vector3(x=-0.3953968509613376, y=0.08714506104449342, z=0.42196370418880536)","geometry_msgs.msg.Vector3(x=-0.016858593707748733, y=-0.26826874521816607, z=-0.07389500709034891)",1745575579165080509
"geometry_msgs.msg.Vector3(x=-0.3947291004541928, y=0.08767932166974224, z=0.3895730782239616)","geometry_msgs.msg.Vector3(x=-0.017243764375896066, y=-0.2685896038091071, z=-0.07373229517069245)",1745575579198530944
"geometry_msgs.msg.Vector3(x=-0.3949032175197039, y=0.08745435339652961, z=0.38766312313530293)","geometry_msgs.msg.Vector3(x=-0.0170605694618767, y=-0.2684794878474277, z=-0.07382322526661456)",1745575579232673963
"geometry_msgs.msg.Vector3(x=-0.3943863375201946, y=0.08659328472716214, z=0.40899855591608003)","geometry_msgs.msg.Vector3(x=-0.016139799434909955, y=-0.2683241656053781, z=-0.07440713580143515)",1745575579265906333
"geometry_msgs.msg.Vector3(x=-0.394513609143291, y=0.08704454765979339, z=0.3942457398585998)","geometry_msgs.msg.Vector3(x=-0.016595223907374303, y=-0.268438959690906, z=-0.0741304265322488)",1745575579317921086
"geometry_msgs.msg.Vector3(x=-0.39465015823776556, y=0.08654970534700815, z=0.3960358120497278)","geometry_msgs.msg.Vector3(x=-0.01614887726853273, y=-0.26825079462729423, z=-0.07437750908990527)",1745575579334156499
"geometry_msgs.msg.Vector3(x=-0.39465015823776556, y=0.08654970534700815, z=0.44684578163302)","geometry_msgs.msg.Vector3(x=-0.01614887726853273, y=-0.26825079462729423, z=-0.07437750908990527)",1745575579363485951
"geometry_msgs.msg.Vector3(x=-0.3959548808659324, y=0.08728594887931612, z=0.4347601990227504)","geometry_msgs.msg.Vector3(x=-0.017098902663829067, y=-0.26818278914847654, z=-0.07370230306099036)",1745575579396240223
"geometry_msgs.msg.Vector3(x=-0.3959548808659324, y=0.08728594887931612, z=0.4347601990227504)","geometry_msgs.msg.Vector3(x=-0.017098902663829067, y=-0.26818278914847654, z=-0.07370230306099036)",1745575579430225493
"geometry_msgs.msg.Vector3(x=-0.39584410054455554, y=0.08779884941187165, z=0.4188501869787681)","geometry_msgs.msg.Vector3(x=-0.01756569021452959, y=-0.2683688156524853, z=-0.07344047743398376)",1745575579464892581
"geometry_msgs.msg.Vector3(x=-0.39584410054455554, y=0.08779884941187165, z=0.4188501869787681)","geometry_msgs.msg.Vector3(x=-0.01756569021452959, y=-0.2683688156524853, z=-0.07344047743398376)",1745575579499833202
"geometry_msgs.msg.Vector3(x=-0.39567728894986887, y=0.08727146590170545, z=0.44549617588274815)","geometry_msgs.msg.Vector3(x=-0.01703221248922053, y=-0.26824329372462147, z=-0.07376746171636064)",1745575579532540997
