_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=-0.15592962746273636, y=0.00641341737121923, z=0.04686096418108071)","geometry_msgs.msg.Vector3(x=0.0013032282826315304, y=-0.16681322017683808, z=-0.031363405922671304)",1745570147131113338
"geometry_msgs.msg.Vector3(x=-0.15460825430145636, y=0.004200820539269332, z=0.05203349012197911)","geometry_msgs.msg.Vector3(x=0.003650387961169501, y=-0.16478894224708035, z=-0.03201109442871716)",1745570147174384949
"geometry_msgs.msg.Vector3(x=-0.15460825430145636, y=0.004200820539269332, z=0.05203349012197911)","geometry_msgs.msg.Vector3(x=0.003650387961169501, y=-0.16478894224708035, z=-0.03201109442871716)",1745570147198365139
"geometry_msgs.msg.Vector3(x=-0.15706846312382833, y=0.007380027122810945, z=0.06202298570785997)","geometry_msgs.msg.Vector3(x=0.0005202648891521303, y=-0.16882595652986748, z=-0.03139426988255163)",1745570147235170259
"geometry_msgs.msg.Vector3(x=-0.15930741115020583, y=0.009811392155532759, z=0.06656561629056279)","geometry_msgs.msg.Vector3(x=-0.0016812924065744657, y=-0.1729795812171677, z=-0.0312030525840447)",1745570147265526211
"geometry_msgs.msg.Vector3(x=-0.15930741115020583, y=0.009811392155532759, z=0.06656561629056279)","geometry_msgs.msg.Vector3(x=-0.0016812924065744657, y=-0.1729795812171677, z=-0.0312030525840447)",1745570147301940709
"geometry_msgs.msg.Vector3(x=-0.1603556192977385, y=0.012175545100438908, z=0.06533557736271922)","geometry_msgs.msg.Vector3(x=-0.004341320342240546, y=-0.17480768551501583, z=-0.030382998143951016)",1745570147336380781
"geometry_msgs.msg.Vector3(x=-0.1605651681933669, y=0.00895254130798996, z=0.059709855184268634)","geometry_msgs.msg.Vector3(x=0.00017967662680913455, y=-0.17618778848264727, z=-0.03260516528494632)",1745570147368515336
"geometry_msgs.msg.Vector3(x=-0.1605651681933669, y=0.00895254130798996, z=0.059709855184268634)","geometry_msgs.msg.Vector3(x=0.00017967662680913455, y=-0.17618778848264727, z=-0.03260516528494632)",1745570147402520483
"geometry_msgs.msg.Vector3(x=-0.16134508588494245, y=0.010325344628695958, z=0.06408877612819491)","geometry_msgs.msg.Vector3(x=-0.001263411952776425, y=-0.17777184173417693, z=-0.03226962448136513)",1745570147433223789
