_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.023430482090540355, y=-0.07796481373136818, z=0.003206708685609615)","geometry_msgs.msg.Vector3(x=-0.0021755537389720383, y=0.004681657060888706, z=-0.08410952455113525)",1745570147131280989
"geometry_msgs.msg.Vector3(x=0.026016745060989555, y=-0.07730412715072818, z=0.002100410269634666)","geometry_msgs.msg.Vector3(x=-0.002646225036344296, y=0.006300074131074954, z=-0.08317497347536987)",1745570147174445571
"geometry_msgs.msg.Vector3(x=0.026016745060989555, y=-0.07730412715072818, z=0.002100410269634666)","geometry_msgs.msg.Vector3(x=-0.002646225036344296, y=0.006300074131074954, z=-0.08317497347536987)",1745570147198492805
"geometry_msgs.msg.Vector3(x=0.031011492853929984, y=-0.07853423156191416, z=0.0036900135614054727)","geometry_msgs.msg.Vector3(x=-0.002078546705784416, y=0.0055941092154520216, z=-0.08534332305055164)",1745570147235312933
"geometry_msgs.msg.Vector3(x=0.033282808145281395, y=-0.07965370557510291, z=0.0049056960777663795)","geometry_msgs.msg.Vector3(x=-0.0017539180507716579, y=0.004883996797701166, z=-0.08748827485294229)",1745570147265731271
"geometry_msgs.msg.Vector3(x=0.033282808145281395, y=-0.07965370557510291, z=0.0049056960777663795)","geometry_msgs.msg.Vector3(x=-0.0017539180507716579, y=0.004883996797701166, z=-0.08748827485294229)",1745570147302167078
"geometry_msgs.msg.Vector3(x=0.03266778868135961, y=-0.08017780964886925, z=0.006087772550219454)","geometry_msgs.msg.Vector3(x=-0.0012182826358634134, y=0.0034481994820735797, z=-0.0883838764179487)",1745570147336591521
"geometry_msgs.msg.Vector3(x=0.029854927592134317, y=-0.08028258409668344, z=0.00447627065399498)","geometry_msgs.msg.Vector3(x=-0.0023596900582237602, y=0.005224885859251669, z=-0.08898954206908766)",1745570147368771280
"geometry_msgs.msg.Vector3(x=0.029854927592134317, y=-0.08028258409668344, z=0.00447627065399498)","geometry_msgs.msg.Vector3(x=-0.0023596900582237602, y=0.005224885859251669, z=-0.08898954206908766)",1745570147402795482
"geometry_msgs.msg.Vector3(x=0.03204438806409746, y=-0.08067254294247123, z=0.005162672314347979)","geometry_msgs.msg.Vector3(x=-0.002104254685147076, y=0.00487992877063655, z=-0.08984725250901139)",1745570147433471828
"geometry_msgs.msg.Vector3(x=0.03204438806409746, y=-0.08067254294247123, z=0.005162672314347979)","geometry_msgs.msg.Vector3(x=-0.002104254685147076, y=0.00487992877063655, z=-0.08984725250901139)",1745570147463973620
"geometry_msgs.msg.Vector3(x=0.030623096546641082, y=-0.08112420219115338, z=0.00631064206492884)","geometry_msgs.msg.Vector3(x=-0.001574862132684842, y=0.00330942188943256, z=-0.09067008860976009)",1745570147495022645
"geometry_msgs.msg.Vector3(x=0.038476693808236956, y=-0.08140126828586969, z=0.006411883502244513)","geometry_msgs.msg.Vector3(x=-0.0016850639840383635, y=0.0047000874224055475, z=-0.09168328359153612)",1745570147530790806
"geometry_msgs.msg.Vector3(x=0.038476693808236956, y=-0.08140126828586969, z=0.006411883502244513)","geometry_msgs.msg.Vector3(x=-0.0016850639840383635, y=0.0047000874224055475, z=-0.09168328359153612)",1745570147565893605
"geometry_msgs.msg.Vector3(x=0.04046980694176747, y=-0.08159331022271976, z=0.006495083113172989)","geometry_msgs.msg.Vector3(x=-0.0017636435248317706, y=0.00506214310952726, z=-0.09231580320641669)",1745570147600391414
"geometry_msgs.msg.Vector3(x=0.032412337866490504, y=-0.0813011710174352, z=0.004287436625526726)","geometry_msgs.msg.Vector3(x=-0.0032161818898099447, y=0.006716703141665645, z=-0.09214431382596903)",1745570147633329968
"geometry_msgs.msg.Vector3(x=0.032412337866490504, y=-0.0813011710174352, z=0.004287436625526726)","geometry_msgs.msg.Vector3(x=-0.0032161818898099447, y=0.006716703141665645, z=-0.09214431382596903)",1745570147661921684
"geometry_msgs.msg.Vector3(x=0.03864004219766676, y=-0.08169454156753453, z=0.005097022849027104)","geometry_msgs.msg.Vector3(x=-0.002934382461682712, y=0.006931598555669139, z=-0.09332112945749371)",1745570147693518874
"geometry_msgs.msg.Vector3(x=0.036722834974566604, y=-0.08171634588492872, z=0.006183042580239897)","geometry_msgs.msg.Vector3(x=-0.00209486959631258, y=0.00497194987328853, z=-0.09275492575732905)",1745570147728967153
"geometry_msgs.msg.Vector3(x=0.036722834974566604, y=-0.08171634588492872, z=0.006183042580239897)","geometry_msgs.msg.Vector3(x=-0.00209486959631258, y=0.00497194987328853, z=-0.09275492575732905)",1745570147762567591
"geometry_msgs.msg.Vector3(x=0.036784906931517175, y=-0.08207564654492248, z=0.005965734162051758)","geometry_msgs.msg.Vector3(x=-0.0026259588535595974, y=0.005673631472274228, z=-0.09430415919885869)",1745570147792842553
"geometry_msgs.msg.Vector3(x=0.039719835682953314, y=-0.0819323994936851, z=0.004910074248238381)","geometry_msgs.msg.Vector3(x=-0.0033780673970424564, y=0.007713667927073968, z=-0.09454237171306694)",1745570147825567481
"geometry_msgs.msg.Vector3(x=0.039719835682953314, y=-0.0819323994936851, z=0.004910074248238381)","geometry_msgs.msg.Vector3(x=-0.0033780673970424564, y=0.007713667927073968, z=-0.09454237171306694)",1745570147859597885
"geometry_msgs.msg.Vector3(x=0.04043357399940942, y=-0.08209369648405587, z=0.0052761948096149034)","geometry_msgs.msg.Vector3(x=-0.003267514820479026, y=0.007457814263281122, z=-0.09506718056885885)",1745570147892775751
"geometry_msgs.msg.Vector3(x=0.04182739269093613, y=-0.08251292501944008, z=0.007309397411285126)","geometry_msgs.msg.Vector3(x=-0.002033616128376485, y=0.004949352654077609, z=-0.09562425017444087)",1745570147929855149
"geometry_msgs.msg.Vector3(x=0.04182739269093613, y=-0.08251292501944008, z=0.007309397411285126)","geometry_msgs.msg.Vector3(x=-0.002033616128376485, y=0.004949352654077609, z=-0.09562425017444087)",1745570147959867976
"geometry_msgs.msg.Vector3(x=0.0496359723444596, y=-0.0821692950103726, z=0.0053481694128436905)","geometry_msgs.msg.Vector3(x=-0.0033178325647654997, y=0.00903984431353583, z=-0.09569977984947907)",1745570147997033704
"geometry_msgs.msg.Vector3(x=0.04878999947501517, y=-0.08254655292422865, z=0.0072430901835564615)","geometry_msgs.msg.Vector3(x=-0.002140143069201971, y=0.006299152716546252, z=-0.09607187252695924)",1745570148031568091
"geometry_msgs.msg.Vector3(x=0.04878999947501517, y=-0.08254655292422865, z=0.0072430901835564615)","geometry_msgs.msg.Vector3(x=-0.002140143069201971, y=0.006299152716546252, z=-0.09607187252695924)",1745570148063855038
"geometry_msgs.msg.Vector3(x=0.05105197258009614, y=-0.08220541650689941, z=0.005384458284128067)","geometry_msgs.msg.Vector3(x=-0.0033434416449004863, y=0.009282998291425716, z=-0.0959214641336348)",1745570148097234547
"geometry_msgs.msg.Vector3(x=0.04025276563834407, y=-0.08232956674041393, z=0.005725831601503825)","geometry_msgs.msg.Vector3(x=-0.003222480403011747, y=0.007048864187453573, z=-0.09600128719890391)",1745570148130181926
"geometry_msgs.msg.Vector3(x=0.04025276563834407, y=-0.08232956674041393, z=0.005725831601503825)","geometry_msgs.msg.Vector3(x=-0.003222480403011747, y=0.007048864187453573, z=-0.09600128719890391)",1745570148162518244
"geometry_msgs.msg.Vector3(x=0.04410172747541205, y=-0.08246226790909683, z=0.006225561651506644)","geometry_msgs.msg.Vector3(x=-0.00296492937633013, y=0.007075535621412674, z=-0.09642413810047798)",1745570148196953538
"geometry_msgs.msg.Vector3(x=0.04309215590034546, y=-0.08240213877426328, z=0.006008089869859416)","geometry_msgs.msg.Vector3(x=-0.0030710185252713317, y=0.00717262697560379, z=-0.09623897368139724)",1745570148229451385
"geometry_msgs.msg.Vector3(x=0.04309215590034546, y=-0.08240213877426328, z=0.006008089869859416)","geometry_msgs.msg.Vector3(x=-0.0030710185252713317, y=0.00717262697560379, z=-0.09623897368139724)",1745570148263188777
"geometry_msgs.msg.Vector3(x=0.04255645788605614, y=-0.08230058175455314, z=0.005530640103808272)","geometry_msgs.msg.Vector3(x=-0.0033705664000389813, y=0.007741119141508252, z=-0.0961160463234262)",1745570148295270273
"geometry_msgs.msg.Vector3(x=0.04255645788605614, y=-0.08230058175455314, z=0.005530640103808272)","geometry_msgs.msg.Vector3(x=-0.0033705664000389813, y=0.007741119141508252, z=-0.0961160463234262)",1745570148337774754
