_layout,_data,timestamp
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.532257080078125, -11.5, 0.7703428059150315, 501.5322570800781, 152.5])",1745575492659807522
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.012115478515625, -9.931869506835938, 0.7810690284211341, 501.0121154785156, 154.06813049316406])",1745575492661160424
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [50.761016845703125, -9.8409423828125, 0.7767113417060059, 499.7610168457031, 154.1590576171875])",1745575492682983677
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [50.1744384765625, -10.35516357421875, 0.7662624651622512, 499.1744384765625, 153.64483642578125])",1745575492706049136
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [49.564483642578125, -10.410263061523438, 0.7808938634475362, 498.5644836425781, 153.58973693847656])",1745575492736727539
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [50.8775634765625, -10.987335205078125, 0.7856486930664501, 499.8775634765625, 153.01266479492188])",1745575492771083809
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.04840087890625, -11.5, 0.7563964204311857, 500.04840087890625, 152.5])",1745575492816464103
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.5, -12.5, 0.7915326995195566, 500.5, 151.5])",1745575492839481686
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.0, -12.0, 0.7993223635377866, 500.0, 152.0])",1745575492878662039
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.0, -16.5, 0.7613841193622015, 500.0, 147.5])",1745575492913588974
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.5, -17.0, 0.7542533822686526, 500.5, 147.0])",1745575492937819411
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.0, -17.93939208984375, 0.8006038371208013, 500.0, 146.06060791015625])",1745575492983114748
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.5, -17.954544067382812, 0.7572235957268165, 500.5, 146.0454559326172])",1745575493005241959
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.0, -19.0, 0.7886697806216325, 501.0, 145.0])",1745575493035175556
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.5, -18.485076904296875, 0.7770583212861875, 501.5, 145.51492309570312])",1745575493066933566
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [54.5, -18.5, 0.7765379579418186, 503.5, 145.5])",1745575493100715278
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.083343505859375, -15.0, 0.8185698635555074, 500.0833435058594, 149.0])",1745575493144255504
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.409088134765625, -13.409088134765625, 0.8059534818948275, 501.4090881347656, 150.59091186523438])",1745575493165599827
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [51.0, -14.0, 0.8042861883095394, 500.0, 150.0])",1745575493199574100
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [53.5, -15.5, 0.7947764033293967, 502.5, 148.5])",1745575493231569811
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [52.6258544921875, -11.967681884765625, 0.8178063603857841, 501.6258544921875, 152.03231811523438])",1745575493266642305
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [53.0, -15.5, 0.78920512778062, 502.0, 148.5])",1745575493298689535
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [50.13348388671875, -14.005096435546875, 0.8309692652798466, 499.13348388671875, 149.99490356445312])",1745575493330798669
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [54.043487548828125, -13.961959838867188, 0.7962259155698528, 503.0434875488281, 150.0380401611328])",1745575493363558609
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [55.0, -15.0, 0.7555708756804882, 504.0, 149.0])",1745575493397711635
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [53.074432373046875, -12.100875854492188, 0.7727412975020378, 502.0744323730469, 151.8991241455078])",1745575493432969979
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [53.0, -11.0, 0.7828246398086818, 502.0, 153.0])",1745575493466174664
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [56.0, -11.0, 0.7760182301773402, 505.0, 153.0])",1745575493497890653
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [59.0, -10.0, 0.7909944487358056, 508.0, 154.0])",1745575493539833505
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [63.5, -7.5, 0.7971343366748176, 512.5, 156.5])",1745575493562969001
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [67.5, -7.5, 0.8109939900895764, 516.5, 156.5])",1745575493607030770
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [73.59375, -6.5, 0.8017052661146287, 522.59375, 157.5])",1745575493627825508
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [79.5, -6.5, 0.8085598064755342, 528.5, 157.5])",1745575493660940966
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [79.5, -6.5, 0.8085598064755342, 528.5, 157.5])",1745575493694146957
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [97.0, -4.5, 0.7852946661581637, 546.0, 159.5])",1745575493737229142
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [104.0, -4.0, 0.7796697172133278, 553.0, 160.0])",1745575493759970187
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [119.0, -5.0, 0.7725695259515555, 568.0, 159.0])",1745575493794506647
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [127.5, -5.5, 0.8109939900895764, 576.5, 158.5])",1745575493827584499
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [137.0, -5.0, 0.7897411426860947, 586.0, 159.0])",1745575493860485073
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [148.55169677734375, -6.5371551513671875, 0.771540355119273, 597.5516967773438, 157.4628448486328])",1745575493892220868
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [160.861572265625, -8.995223999023438, 0.7438606323945789, 609.861572265625, 155.00477600097656])",1745575493925941206
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [171.13433837890625, -10.058029174804688, 0.7549116102763171, 620.1343383789062, 153.9419708251953])",1745575493959642820
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [180.5, -14.347457885742188, 0.7078034628861947, 629.5, 149.6525421142578])",1745575493992307809
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [194.0762939453125, -18.885177612304688, 0.7100119186760987, 643.0762939453125, 145.1148223876953])",1745575494026137733
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [199.66290283203125, -21.893081665039062, 0.7281268769726867, 648.6629028320312, 142.10691833496094])",1745575494059313792
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [213.59228515625, -23.589385986328125, 0.6976548923685986, 662.59228515625, 140.41061401367188])",1745575494091365591
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [213.59228515625, -23.589385986328125, 0.6976548923685986, 662.59228515625, 140.41061401367188])",1745575494125393955
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [234.89276123046875, -29.009750366210938, 0.6710800875382399, 683.8927612304688, 134.99024963378906])",1745575494157777172
"std_msgs.msg.MultiArrayLayout(dim=[], data_offset=0)","array('d', [234.89276123046875, -29.009750366210938, 0.6710800875382399, 683.8927612304688, 134.99024963378906])",1745575494192703417
