_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.055200041659549524, y=-0.009815741743265482, z=0.39053451421056706)","geometry_msgs.msg.Vector3(x=0.005270886939838589, y=0.027603059021304253, z=0.007324735791860527)",1745575492662670060
"geometry_msgs.msg.Vector3(x=0.05388242292055509, y=-0.009764591946628036, z=0.38835567085300293)","geometry_msgs.msg.Vector3(x=0.00522291114499214, y=0.026940537836863794, z=0.007157732237992264)",1745575492684940952
"geometry_msgs.msg.Vector3(x=0.053247696778540785, y=-0.01028273054868621, z=0.3831312325811256)","geometry_msgs.msg.Vector3(x=0.005494220894503219, y=0.026621447963818743, z=0.007110298878249548)",1745575492707309405
"geometry_msgs.msg.Vector3(x=0.05260202165024955, y=-0.01035362286536372, z=0.3904469317237681)","geometry_msgs.msg.Vector3(x=0.0055232653939612806, y=0.026296914463614894, z=0.007034382506710501)",1745575492738016728
"geometry_msgs.msg.Vector3(x=0.05397052288133601, y=-0.010877157043414687, z=0.39282434653322507)","geometry_msgs.msg.Vector3(x=0.00582755547294309, y=0.026984871031405223, z=0.007236320909024345)",1745575492772376072
"geometry_msgs.msg.Vector3(x=0.054134818685631844, y=-0.01136968613477168, z=0.37819821021559286)","geometry_msgs.msg.Vector3(x=0.006097685293514049, y=0.027067572460584038, z=0.007286774710096802)",1745575492816957147
"geometry_msgs.msg.Vector3(x=0.054578982474970526, y=-0.012324002581808397, z=0.3957663497597783)","geometry_msgs.msg.Vector3(x=0.0066241170270380425, y=0.027291362151396742, z=0.007400376191613138)",1745575492841034779
"geometry_msgs.msg.Vector3(x=0.05406834910375392, y=-0.011855580811408143, z=0.3996611817688933)","geometry_msgs.msg.Vector3(x=0.006360982247500459, y=0.02703417455187696, z=0.00730813949424366)",1745575492879963327
"geometry_msgs.msg.Vector3(x=0.05392670917515143, y=-0.016176636448273055, z=0.38069205968110076)","geometry_msgs.msg.Vector3(x=0.008723438248921555, y=0.02696335458757571, z=0.007555665296518469)",1745575492915372655
"geometry_msgs.msg.Vector3(x=0.05443399993078973, y=-0.016636759936352358, z=0.3771266911343263)","geometry_msgs.msg.Vector3(x=0.008985112128042783, y=0.027219604387894343, z=0.007647509462827371)",1745575492939099073
"geometry_msgs.msg.Vector3(x=0.05388049047398864, y=-0.017543743331288525, z=0.40030191856040065)","geometry_msgs.msg.Vector3(x=0.009476306319666408, y=0.02694024523699433, z=0.007634415040899685)",1745575492984372504
"geometry_msgs.msg.Vector3(x=0.054402676116825054, y=-0.01754240111612479, z=0.37861179786340826)","geometry_msgs.msg.Vector3(x=0.009484218644204711, y=0.027204102668575345, z=0.007699671532013853)",1745575493006594933
"geometry_msgs.msg.Vector3(x=0.05488994223144406, y=-0.018514435042021354, z=0.39433489031081626)","geometry_msgs.msg.Vector3(x=0.01003014263802613, y=0.027450916693545217, z=0.007821074785764512)",1745575493036364642
"geometry_msgs.msg.Vector3(x=0.05542926499125504, y=-0.018011887385075885, z=0.38852916064309373)","geometry_msgs.msg.Vector3(x=0.009761311727734473, y=0.027723382940697202, z=0.00785741187809197)",1745575493068592940
"geometry_msgs.msg.Vector3(x=0.057514453495130055, y=-0.017957196964719896, z=0.3882689789709093)","geometry_msgs.msg.Vector3(x=0.009768877696088389, y=0.028778585645233362, z=0.008115683009058046)",1745575493101959612
"geometry_msgs.msg.Vector3(x=0.05406185868468638, y=-0.014741602179807835, z=0.4092849317777537)","geometry_msgs.msg.Vector3(x=0.007937412356697716, y=0.02703130413098948, z=0.007484137997211903)",1745575493145348827
"geometry_msgs.msg.Vector3(x=0.05550517373073937, y=-0.013172426390186683, z=0.40297674094741376)","geometry_msgs.msg.Vector3(x=0.007102112410394266, y=0.027758430067614113, z=0.0075678977372203825)",1745575493166937800
"geometry_msgs.msg.Vector3(x=0.05400593471810091, y=-0.013784767342589724, z=0.4021430941547697)","geometry_msgs.msg.Vector3(x=0.007412579275033457, y=0.027002967359050452, z=0.007418397626112763)",1745575493200276423
"geometry_msgs.msg.Vector3(x=0.0565779255060726, y=-0.015142078294974198, z=0.39738820166469835)","geometry_msgs.msg.Vector3(x=0.008199465886617751, y=0.028301382253809636, z=0.00782335426459423)",1745575493232838493
"geometry_msgs.msg.Vector3(x=0.05578062817253012, y=-0.011774019326818753, z=0.40890318019289207)","geometry_msgs.msg.Vector3(x=0.00634392942912492, y=0.02789635538949426, z=0.007516562305756558)",1745575493268346048
"geometry_msgs.msg.Vector3(x=0.056054451850971236, y=-0.01515879712541309, z=0.39460256389031)","geometry_msgs.msg.Vector3(x=0.008199508785187978, y=0.02803703003967504, z=0.007758868752634103)",1745575493299744590
"geometry_msgs.msg.Vector3(x=0.053095131956467215, y=-0.013815472089277641, z=0.4154846326399233)","geometry_msgs.msg.Vector3(x=0.0074152427377234915, y=0.026544048019848734, z=0.007306740021598039)",1745575493331927525
"geometry_msgs.msg.Vector3(x=0.05720120210592563, y=-0.013650194436679005, z=0.3981129577849264)","geometry_msgs.msg.Vector3(x=0.007392442381411285, y=0.028614418921551973, z=0.007809263871965373)",1745575493365111690
"geometry_msgs.msg.Vector3(x=0.05816545710895775, y=-0.014612083143061632, z=0.3777854378402441)","geometry_msgs.msg.Vector3(x=0.007937117099515747, y=0.029102762698224417, z=0.007989449739732339)",1745575493399374173
"geometry_msgs.msg.Vector3(x=0.05624793479962115, y=-0.011888446139191154, z=0.3863706487510189)","geometry_msgs.msg.Vector3(x=0.006414019380096801, y=0.028131884164565312, z=0.007581877210223486)",1745575493434109518
"geometry_msgs.msg.Vector3(x=0.05620640320400618, y=-0.010823925202992427, z=0.3914123199043409)","geometry_msgs.msg.Vector3(x=0.005834176501032784, y=0.028110123141339767, z=0.007511575099431618)",1745575493468585553
"geometry_msgs.msg.Vector3(x=0.05936085548981006, y=-0.010722018480330097, z=0.3880091150886701)","geometry_msgs.msg.Vector3(x=0.005833890884676621, y=0.02969980814017189, z=0.00789935634874195)",1745575493499256375
"geometry_msgs.msg.Vector3(x=0.06254711357000695, y=-0.009638053528153896, z=0.3954972243679028)","geometry_msgs.msg.Vector3(x=0.0053060605707222035, y=0.031305757367261, z=0.00823197397114902)",1745575493541104724
"geometry_msgs.msg.Vector3(x=0.06736566295703127, y=-0.007010962536606133, z=0.3985671683374088)","geometry_msgs.msg.Vector3(x=0.00398425213398296, y=0.03373333473438903, z=0.008676037394176515)",1745575493564378325
"geometry_msgs.msg.Vector3(x=0.07153855708959893, y=-0.006827592523782828, z=0.4054969950447882)","geometry_msgs.msg.Vector3(x=0.00398317320879765, y=0.03584855887917883, z=0.009191938174148418)",1745575493607989348
