_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.1977618773353782, y=0.06396301309304457, z=-0.0049425063736441835)","geometry_msgs.msg.Vector3(x=0.00411598698557451, y=0.0026530302853611017, z=0.0156528786836305)",1745575493541268066
"geometry_msgs.msg.Vector3(x=0.19944693850619769, y=0.06885794138882963, z=-0.0036356218292157142)","geometry_msgs.msg.Vector3(x=0.004338018697088258, y=0.00199212606699148, z=0.016866667367194516)",1745575493564486056
"geometry_msgs.msg.Vector3(x=0.20294367300962518, y=0.07311957045555245, z=-0.0035516753345036403)","geometry_msgs.msg.Vector3(x=0.004595969087074209, y=0.001991586604398825, z=0.017924279439589415)",1745575493608102304
"geometry_msgs.msg.Vector3(x=0.2007157091539602, y=0.07961284211686616, z=-0.0029167897219365578)","geometry_msgs.msg.Vector3(x=0.004960939834679885, y=0.001726032748266089, z=0.019542341933493492)",1745575493630163992
"geometry_msgs.msg.Vector3(x=0.20247615838471775, y=0.08580679878734822, z=-0.0027574875028462138)","geometry_msgs.msg.Vector3(x=0.005339790537443273, y=0.0017248176621328629, z=0.021095846790701915)",1745575493662498567
"geometry_msgs.msg.Vector3(x=0.20247615838471775, y=0.08580679878734822, z=-0.0027574875028462138)","geometry_msgs.msg.Vector3(x=0.005339790537443273, y=0.0017248176621328629, z=0.021095846790701915)",1745575493696697810
"geometry_msgs.msg.Vector3(x=0.1968893626149764, y=0.10386819553354229, z=-0.0012056911464937597)","geometry_msgs.msg.Vector3(x=0.006400663552625839, y=0.0011917754398218874, z=0.02568938170282739)",1745575493738759746
"geometry_msgs.msg.Vector3(x=0.19556065248764012, y=0.11087297511645589, z=-0.0006920892954207754)","geometry_msgs.msg.Vector3(x=0.006828898540750184, y=0.0010579328689279282, z=0.027506254592126203)",1745575493761393842
"geometry_msgs.msg.Vector3(x=0.1938557374224456, y=0.12521917914323383, z=-0.0005133297722093046)","geometry_msgs.msg.Vector3(x=0.007789322657533615, y=0.0013161548608057795, z=0.03132448568717748)",1745575493796016713
"geometry_msgs.msg.Vector3(x=0.20350398890654703, y=0.13300898166216066, z=-0.0003297093737331195)","geometry_msgs.msg.Vector3(x=0.008324019059944699, y=0.0014432798238419994, z=0.033457850461791866)",1745575493828366907
"geometry_msgs.msg.Vector3(x=0.19828533349839042, y=0.14150770907900798, z=0.0004096430961520587)","geometry_msgs.msg.Vector3(x=0.008888209297726843, y=0.0013077658874873026, z=0.03583278531715191)",1745575493861890261
"geometry_msgs.msg.Vector3(x=0.19375168552393332, y=0.15112085991294597, z=0.0003612054146881224)","geometry_msgs.msg.Vector3(x=0.009615541762298703, y=0.0017001215429446952, z=0.038633921650051625)",1745575493893479332
"geometry_msgs.msg.Vector3(x=0.18681177095718277, y=0.1606121010392945, z=1.9541001153788905e-05)","geometry_msgs.msg.Vector3(x=0.010393657882413854, y=0.0023227331392311245, z=0.04153743194952718)",1745575493927203070
"geometry_msgs.msg.Vector3(x=0.18960169627578163, y=0.16812503134782636, z=0.00023823273189218976)","geometry_msgs.msg.Vector3(x=0.011006109617536132, y=0.00258182013555457, z=0.04392889233392484)",1745575493962082246
"geometry_msgs.msg.Vector3(x=0.1777016474345788, y=0.1740534829255181, z=-0.0009463993755722375)","geometry_msgs.msg.Vector3(x=0.011626943541346389, y=0.003654883580304077, z=0.045980722961415296)",1745575493993525858
"geometry_msgs.msg.Vector3(x=0.17815163430030811, y=0.1820801687571943, z=-0.001796391137934243)","geometry_msgs.msg.Vector3(x=0.012464589137490038, y=0.004759042656108815, z=0.048906998937805556)",1745575494027871790
"geometry_msgs.msg.Vector3(x=0.1825892451405167, y=0.1849128165470266, z=-0.0025616709833812014)","geometry_msgs.msg.Vector3(x=0.012824236074901324, y=0.0054876077886289905, z=0.05004648123297319)",1745575494061460814
"geometry_msgs.msg.Vector3(x=0.17499670829339714, y=0.19228252137810614, z=-0.0020502262549436786)","geometry_msgs.msg.Vector3(x=0.013580338117606722, y=0.005851045386813109, z=0.05297883359264493)",1745575494093056390
"geometry_msgs.msg.Vector3(x=0.17499670829339714, y=0.19228252137810614, z=-0.0020502262549436786)","geometry_msgs.msg.Vector3(x=0.013580338117606722, y=0.005851045386813109, z=0.05297883359264493)",1745575494127244167
